"Season","Artist","Plays"
"Spring","GASHI",9
"Spring","Grace VanderWaal",9
"Spring","Hozier",9
"Spring","IHF",9
"Spring","J-AX",9
"Spring","Jakob Ahlbom",9
"Spring","Jeb Bush Orchestra",9
"Spring","Jessie Reyez",9
"Spring","Jinsang",9
"Spring","John Debney",9
"Spring","Jon E. Amber",9
"Spring","Jozef Gatysik",9
"Spring","Justice Skolnik",9
"Spring","KWAYE",9
"Spring","Kazy Lambist",9
"Spring","Keala Settle",9
"Spring","Kungs",9
"Spring","LUCHS",9
"Spring","Lady Gaga",9
"Spring","Lemaitre",9
"Spring","Levi Stills",9
"Spring","Lord Huron",9
"Spring","Machine Gun Kelly",9
"Spring","Mayol",9
"Spring","Michel Landau",9
"Spring","NLSN",9
"Spring","Nao",9
"Spring","Nohidea",9
"Spring","Olympic Ayres",9
"Spring","Opus Monik",9
"Spring","Paul Whitacre",9
"Spring","Regard",9
"Spring","Rick Hagen",9
"Spring","Robyn Sherwell",9
"Spring","Rod Wave",9
"Spring","Roger Reuse",9
"Spring","SLANDER",9
"Spring","Sabrina Carpenter",9
"Spring","Said The Sky",9
"Spring","Samuel Lindon",9
"Spring","Shafqat Amanat Ali",9
"Spring","The Tides",9
"Spring","Tom Misch",9
"Spring","Tones And I",9
"Spring","Trevor Kowalski",9
"Spring","Tyla Yaweh",9
"Spring","Tyler, The Creator",9
"Spring","Viclo",9
"Spring","Waht Poo",9
"Spring","Weston Estate",9
"Spring","Wiz Khalifa",9
"Spring","Y.V.E. 48",9
"Spring","YNW Melly",9
"Spring","Yue Yan Jen",9
"Spring","tobi lou",9
"Summer","6ix9ine",9
"Summer","Alaskan Tapes",9
"Summer","Arush Mandal",9
"Summer","B.o.B",9
"Summer","BURNS",9
"Summer","Ben Howard",9
"Summer","Billie Marten",9
"Summer","Binaural Beats Study Music",9
"Summer","Cat Burns",9
"Summer","Charlie Who?",9
"Summer","Chiiild",9
"Summer","Chill Fruits Music",9
"Summer","Chris Malinchak",9
"Summer","Christina Perri",9
"Summer","Cigarettes After Sex",9
"Summer","Darshan Raval",9
"Summer","Davai",9
"Summer","Delit Quirion",9
"Summer","Devault",9
"Summer","Excision",9
"Summer","Internet Money",9
"Summer","JOMALU",9
"Summer","Joaquin Mans",9
"Summer","John Ocean",9
"Summer","Kasper Schill",9
"Summer","LLusion",9
"Summer","Leerseite",9
"Summer","Lost Frequencies",9
"Summer","MGMT",9
"Summer","Mehdi Teyt & Rehla X",9
"Summer","Mike Williams",9
"Summer","Minnz Piano",9
"Summer","Mithoon",9
"Summer","Momento",9
"Summer","NIKI",9
"Summer","Najma Wallin",9
"Summer","Nebu Kiniza",9
"Summer","PLVTINUM",9
"Summer","Phoebe Bridgers",9
"Summer","Pim Miles",9
"Summer","Porter Robinson",9
"Summer","ROLE MODEL",9
"Summer","Rae Morris",9
