"ID","Season","Song","Plays"
"5zxwumO0laRosoeOvbVSvc","Fall","Mitch James ~ Bright Blue Skies",24
"0W3XXRdUeLUEYul1NMCnTo","Fall","Morgan Page ~ Fire & Gold",24
"3S3eEF7z4kBXmw7kSZDHAc","Fall","SYML ~ Here Comes the Sun",24
"6tT4Ks1N04Ut0lSQ3xjSaZ","Fall","CNCO ~ Llegaste Tu",24
"6L4F4btXioJPhEwz6T7YYt","Fall","Ali Gatie ~ Moonlight",24
"6TIU9Ehmi6dMzZK73Ym4yj","Fall","Ed Sheeran ~ Save Myself",24
"78wMD0pLwum3Xmm76VMQel","Fall","Dean Lewis ~ Waves - Acoustic",24
"6tIsrRynd3eQB0a2c3SPyM","Spring","Ashe ~ Choirs",24
"2iUmqdfGZcHIhS3b9E9EWq","Spring","Neon Trees ~ Everybody Talks",24
"6A8dnC0xkiuWN4BshmTB2I","Spring","A R I Z O N A ~ Oceans Away",24
"09oZ9eXQ2fo6YDrPzJqAoP","Spring","Khalid ~ Outta My Head (with John Mayer)",24
"0hNduWmlWmEmuwEFcYvRu1","Spring","Petit Biscuit ~ Sunset Lover",24
"1kwnxJNVl7cwcU98RvMBaR","Spring","Mac Miller ~ Surf",24
"4aSfgWmRa9KsISD4Jmx7QB","Spring","Kygo ~ This Town (feat. Sasha Alex Sloan)",24
"5bgwqaRSS3M8WHWruHgSL5","Summer","Khalid ~ 8TEEN",24
"7qH9Z4dJEN0l9bidizW7fq","Summer","Novo Amor ~ Anchor",24
"4OBZT9EnhYIV17t4pGw7ig","Summer","Daniel Caesar ~ Best Part (feat. H.E.R.)",24
"4RVwu0g32PAqgUiJoXsdF8","Summer","Billie Eilish ~ Happier Than Ever",24
"11Tfh16o0SW8KdiQdeESEX","Summer","Bazzi ~ Honest",24
"2XyNLoEWc4IDt9OVzXZUXl","Summer","ODESZA ~ It's Only (feat. Zyra) - ODESZA VIP Remix",24
"3YPhgbRDotBitv4FQBnoum","Summer","Mauve ~ Just Stay",24
"2EEmzqzM70CybVspgM7YRT","Summer","Mau y Ricky ~ La Boca - Remix",24
"0yiiJMHaLqTug11ncyj0oF","Summer","Shoffy ~ Let Go Today",24
"1FFd5yEjDOnQF6pRvyyaBC","Summer","Mr. Probz ~ Nothing Really Matters - Afrojack Remix",24
"0LmVXhtRyUX96EAs2Idoa1","Summer","Jeremy Zucker ~ julia",24
"4QIo4oxwzzafcBWkKjDpXY","Summer","Billie Eilish ~ xanny",24
"47hZWKFZVqF2wvHDIFhgcU","Winter","Mauve ~ Easy to Adore You",24
"1T575AhHueYinKSDflEsGK","Winter","Julia Michaels ~ Heaven",24
"6Qhn23W3lhkJoRQK2jc8Po","Winter","SYML ~ Here Comes the Sun",24
"1oinuryVDJnYyWoYic9zDI","Winter","Axwell /\ Ingrosso ~ More Than You Know - Acoustic",24
"4lAZaMGhx9Di03Vz9tfNzy","Winter","The Piano Guys ~ Titanium / Pavane",24
"265yhmmWClZfBmgNPzwOMP","Winter","Alvaro ~ Watching You",24
"5eQLcYDijgzO4G48T3x0yW","Winter","The Piano Guys ~ Waterfall",24
"0hQCG9PYrkjYtDVEuj8ooT","Winter","Nicky Jam ~ Without You",24
"5iYqXLSwFkrsgXl53pAnhd","Fall","Fuse ODG ~ Boa Me (feat. Ed Sheeran & Mugeez)",23
"0McI9sOmkpfd4E72njtU0G","Fall","Metro Boomin ~ Borrowed Love (feat. Swae Lee & WizKid)",23
"7pJ8EpupQvfomVNPtfneql","Fall","Jome ~ Cinnamon",23
"6JyHE2IeTdfdwk7T6nRj0L","Fall","Ed Sheeran ~ I See Fire",23
"53QF56cjZA9RTuuMZDrSA6","Fall","Jason Mraz ~ I Won't Give Up",23
"6VBhH7CyP56BXjp8VsDFPZ","Fall","Pritam ~ Kesariya (From """"Brahmastra"""")",23
"1o6YK7phnXgsljfWSQQfWc","Fall","James TW ~ When You Love Someone",23
"7qH9Z4dJEN0l9bidizW7fq","Spring","Novo Amor ~ Anchor",23
"7CuirbdoToNGURPTSxXUyV","Spring","Mauve ~ By My Side",23
"0FknXlaOeXD7Vto1Hx9wtP","Spring","Party Favor ~ Caskets",23
