"ID","Season","Song","Plays"
"5210540003275262893","Fall","Odd Future ~ Oldie",38
"-3872110789925269452","Fall","Mick Jenkins ~ Strange Love",38
"2759823940036419376","Fall","Travis Scott ~ lose",38
"6937117120762176190","Spring","Pusha T ~ Come Back Baby",38
"-6537718441458733541","Spring","Drake ~ Controlla",38
"163532073405923036","Spring","Tyler, The Creator ~ GONE, GONE / THANK YOU",38
"2757784582799188453","Spring","Young Thug ~ Harambe",38
"-6824097353851843532","Spring","Chance the Rapper ~ Juke Jam (feat. Justin Bieber & Towkio)",38
"-3511298333602445466","Spring","Kendrick Lamar ~ LUST.",38
"5784496312927353307","Spring","Drake ~ Redemption",38
"8882343261835944040","Spring","Kendrick Lamar ~ i",38
"8521326927133497974","Summer","Kanye West ~ Champion",38
"-2572879436935601532","Summer","BROCKHAMPTON ~ Gummy",38
"8164603613545384663","Summer","Kendrick Lamar ~ HiiiPower",38
"-7111926858199344767","Summer","Joey Bada$$ ~ On & On (feat. Maverick Sabre & Dymeond Lewis)",38
"-6969674407158623155","Summer","Jack Harlow ~ SUNDAY NIGHT",38
"4850318822048992494","Winter","Danny Brown ~ 30",38
"-8554617097575030854","Winter","Lil Uzi Vert ~ Bigger Than Life",38
"-3871867981099380430","Winter","Roddy Ricch ~ Boom Boom Room",38
"-8124165238117834316","Winter","Lil Uzi Vert ~ Chrome Heart Tags",38
"-3652634780092661987","Winter","A$AP Rocky ~ Goldie",38
"-7328647050692526615","Winter","PnB Rock ~ Hanging Up My Jersey (feat. Ty Dolla $ign)",38
"-7257940887428890016","Winter","Bryson Tiller ~ Intro (Difference)",38
"1823735699898147710","Winter","Roddy Ricch ~ Start wit Me (feat. Gunna)",38
"8450971994353943165","Winter","Kendrick Lamar ~ These Walls (feat. Bilal, Anna Wise & Thundercat)",38
"1750912299086284556","Winter","SiR ~ War",38
"7945486275946661893","Winter","Kendrick Lamar ~ Wesley's Theory (feat. George Clinton & Thundercat)",38
"-771258862019519617","Winter","Kendrick Lamar ~ i",38
"6217790361352907593","Winter","Travis Scott ~ sweet sweet",38
"5282226290583312180","Fall","Jack Harlow ~ PICKYOURPHONEUP (feat. K CAMP)",37
"2973637559944798366","Fall","Dave East ~ Phone Jumpin (feat. Wiz Khalifa)",37
"-701695375650674490","Fall","Bryson Tiller ~ Sorry Not Sorry",37
"814602279482420307","Spring","Tom The Mail Man ~ Destroyed",37
"-2860344320200262379","Spring","Anderson .Paak ~ Drugs",37
"3983460771013596745","Spring","Kendrick Lamar ~ For Sale?",37
"-8914965041930906907","Spring","Tom The Mail Man ~ NOTHINGTOLOSE",37
"1533521002704195365","Spring","Frank Ocean ~ Pink + White",37
"4557745805710222595","Spring","PARTYNEXTDOOR ~ TOUCH ME",37
"6072992037212446039","Spring","Anderson .Paak ~ The Season / Carry Me",37
"7369665338458225849","Spring","Travis Scott ~ way back",37
"8738123156412795345","Summer","Aries ~ AMY'S GRAVE",37
"3333641152756180844","Summer","Royce da 5'9 ~ Boblo Boat (feat. J. Cole)",37
"9028936483566349842","Summer","Travis Scott ~ CAN'T SAY",37
"1677124508700837843","Summer","Mac Miller ~ Dang! (feat. Anderson .Paak)",37
"-2862488527611294537","Summer","6LACK ~ Ex Calling",37
"-5818556385514136312","Summer","Kanye West ~ Father Stretch My Hands, Pt. 1",37
"-771782702191167531","Summer","Isaiah Rashad ~ Menthol (feat. Jean Deaux)",37
"453432514193855978","Summer","VIC MENSA ~ Say I Didn't",37
"5714750714026920120","Winter","Isaiah Rashad ~ Free Lunch",37
"-5889759333521725441","Winter","Kendrick Lamar ~ Hol' Up",37
"-4808164934676818888","Winter","Frank Ocean ~ Nights",37
"6648651415319593934","Winter","PnB Rock ~ Playa No More (feat. A Boogie wit da Hoodie & Quavo)",37
"1391446298547260058","Winter","Lil Uzi Vert ~ Prices",37
"4273424943305440837","Winter","Kendrick Lamar ~ Sing About Me, I'm Dying of Thirst",37
"-6247039677798636614","Winter","Migos ~ T-Shirt",37
"-3799573207236131443","Winter","Travis Scott ~ goosebumps",37
"7442700597833533025","Fall","Big K.R.I.T. ~ Big Bank (feat. T.I.)",36
"-6392506204181998196","Fall","Mick Jenkins ~ Black Sheep",36
"-2571653550748789418","Fall","Earl Sweatshirt ~ DNA (feat. Na'kel)",36
"451216139338886372","Fall","Lil Baby, Gunna ~ Drip Too Hard",36
"-7399875571899997685","Spring","Aries ~ AMY'S GRAVE",36
"7008671974901030305","Spring","Bryson Tiller ~ Don't",36
"4703942870770279714","Spring","Anderson .Paak ~ Heart Don't Stand a Chance",36
"4272951468476722509","Spring","Tom The Mail Man ~ Holdin On",36
"-3655822191884948167","Spring","Chance the Rapper ~ How Great (feat. Jay Electronica & My cousin Nicole)",36
"-4662181988370698573","Spring","Anderson .Paak ~ Might Be",36
"7442319964140048309","Spring","Mike WiLL Made-It ~ Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",36
"-5887034040534057474","Spring","PARTYNEXTDOOR ~ SHOWING YOU",36
"6939483079128195632","Spring","Kendrick Lamar ~ Swimming Pools (Drank)",36
"-3004824268605638158","Spring","Anderson .Paak ~ The Bird",36
