"ID","SchoolPeriod","Song","Plays"
"2685313181586607093","Freshman Year","Mere Raj ~ Touch",31
"-5022771600769567821","Sophomore Year","Aries ~ WHEN THE LIGHTS GO OUT",31
"2540133451864589466","10th Grade","Lil Uzi Vert ~ 20 Min",30
"-5673783237229014969","10th Grade","Bryson Tiller ~ Don't",30
"8380911373974501987","10th Grade","Kendrick Lamar ~ LOVE. (FEAT. ZACARI.)",30
"-2863757400926804839","10th Grade","Dave East ~ Phone Jumpin (feat. Wiz Khalifa)",30
"-3150031355531248832","10th Grade","Travis Scott ~ Piss On Your Grave (feat. Kanye West)",30
"1462736965190223474","10th Grade","Bryson Tiller ~ Self-Made",30
"5423697750558844137","10th Grade","Pusha T ~ The Games We Play",30
"-8192057445583975119","10th Grade","Daniel Caesar ~ Transform (feat. Charlotte Day Wilson)",30
"2976396861171126306","10th-11th Summer","Travis Scott ~ STARGAZING",30
"-846309322336967797","11th Grade","Travis Scott ~ A-Team",30
"1823856307533411020","11th Grade","Travis Scott ~ CAROUSEL",30
"-6825223818351782277","11th Grade","Rich The Kid ~ World Is Yours 2",30
"-2790250874103609546","11th Grade","Travis Scott ~ sweet sweet",30
"-5598124939969761116","12th Grade","A Boogie wit da Hoodie ~ Mood Swings",30
"-4447211761569987023","12th Grade","Jack Harlow ~ PICKYOURPHONEUP (feat. K CAMP)",30
"3261593756962057269","12th-Freshman Summer","Cage the Elephant ~ Take It or Leave It",30
"-342256947049122003","8th Grade","Drake ~ Faithful (feat. Pimp C & dvsn)",30
"-4662181988370698573","8th Grade","Anderson .Paak ~ Might Be",30
"-3798486142649359693","8th Grade","Kanye West ~ Runaway (feat. Pusha T)",30
"-2935517220106742091","8th Grade","Kendrick Lamar ~ untitled 01 l 08.19.2014.",30
"3408299310630680731","8th-9th Summer","Joey Bada$$ ~ O.C.B.",30
"-8844034752784679826","9th Grade","Kendrick Lamar ~ DUCKWORTH.",30
"7008671974901030305","9th Grade","Bryson Tiller ~ Don't",30
"21623969741883031","9th Grade","Kendrick Lamar ~ FEAR.",30
"2108911887953342580","9th Grade","Tyga ~ Feel Me (feat. Kanye West)",30
"6072386509225333127","9th Grade","Joey Bada$$ ~ LEGENDARY (feat. J. Cole)",30
"-5458332035141441819","9th Grade","Kendrick Lamar ~ LOVE. (FEAT. ZACARI.)",30
