"ID","Month","Song","Plays"
"3LRbalLzZcuvSR6jVnqclh","09","RINI ~ Meet Me in Amsterdam",14
"2J9TGb5CRT4omfAgnKmXn5","09","J-AX ~ Ostia Lido",14
"1kwnxJNVl7cwcU98RvMBaR","09","Mac Miller ~ Surf",14
"2pJZ1v8HezrAoZ0Fhzby92","09","Ed Sheeran ~ What Do I Know?",14
"0bZ52QzCCKfrfOqs7za6lI","10","Hozier ~ Cherry Wine - Live",14
"65Ue0jbK1lhMuWc9XfVanh","10","ILLENIUM ~ Crazy Times",14
"4nRbhflKt9BAc6YulQ22ga","10","ILLENIUM ~ In My Mind",14
"6J2LdBN97cDWn0MLxYh9HB","10","Noah Cyrus ~ July",14
"0DkkunMQNA2SuOYmnYm88E","10","Miro ~ Soar",14
"1kwnxJNVl7cwcU98RvMBaR","10","Mac Miller ~ Surf",14
"0McI9sOmkpfd4E72njtU0G","11","Metro Boomin ~ Borrowed Love (feat. Swae Lee & WizKid)",14
"1sjXaEmqj5cRMns8rWYnKe","11","Shoffy ~ I Can't Help",14
"4na7Gwn4tqUCxScgHOWAip","12","Evan Rachel Wood ~ All Is Found (Lullaby Ending) - Outtake",14
"7qH9Z4dJEN0l9bidizW7fq","12","Novo Amor ~ Anchor",14
"6CfGQzfXt10xyTt6QYKueh","12","Gradur ~ BLH",14
"2LTFSIFfYR9tjPdzX4if0Z","12","Khalid ~ Backseat",14
"0xE4LEFzSNGsz1F6kvXsHU","12","Mac Miller ~ Circles",14
"6potEImiklXkwD9qFzpu15","12","Labrinth ~ Forever",14
"35Vshy9pcZHu6zs8vD1jnt","12","Alonzo ~ Freestyle Encaisse",14
"0zAK46czrFfWH0SBGFCV2W","12","Nicky Jam ~ I Can't Forget You",14
"2MCAs3ttHSuDm1RHL0rqTF","12","Mister V ~ Jamais",14
"6vo7Y1iWyZvpjvFbf6BiZ5","12","Pritam ~ Kalank (Title Track)",14
"3OHfY25tqY28d16oZczHc8","12","SZA ~ Kill Bill",14
"0liPTFPAXfDrjXFwMn9L1A","12","Timal ~ La 12",14
"30kxl4FnaEFS2qZkec3Zak","12","Naza ~ Loin de moi",14
"6RQ5IwG7uADz9LDWliJGjU","12","SZA ~ Special",14
"7GbAp0HKPQW7WnFJAzMoRk","12","LANY ~ Thru These Tears",14
"64BKKgWdKdmKlQDzRfHW3C","01","Louis The Child ~ Free (with Drew Love)",13
"6tT4Ks1N04Ut0lSQ3xjSaZ","01","CNCO ~ Llegaste Tu",13
"7vGGAJBkHKxKtOnGjQduDV","01","Khalid ~ Saturday Nights",13
