"ID","Year","Song","Plays"
"6SM0JzGgLQU3oiSZg1AYyz","2020","Limited Tym ~ GROW",34
"45sDIKapDyxPl307QpEAwl","2020","Far East Movement ~ Rocketeer",34
"7qH9Z4dJEN0l9bidizW7fq","2021","Novo Amor ~ Anchor",34
"39KG4kom3enSx4GTThuDGt","2021","Khalid ~ Coaster",34
"2hFD70XI1S5HeGxasMvgbY","2021","Jai Wolf ~ Indian Summer - Kasbo Remix",34
"4bD9z9qa4qg9BhryvYWB7c","2021","Pritam ~ Kabira",34
"5qNh5WtzMbfpSj2jLlBkoD","2021","Billie Eilish ~ Your Power",34
"3ZCTVFBt2Brf31RLEnCkWJ","2021","Billie Eilish ~ everything i wanted",34
"0742PcMPo2Akmo4vHC29VZ","2021","Jeremy Zucker ~ this is how you fall in love",34
"1sjXaEmqj5cRMns8rWYnKe","2022","Shoffy ~ I Can't Help",34
"6VBhH7CyP56BXjp8VsDFPZ","2022","Pritam ~ Kesariya (From """"Brahmastra"""")",34
"3GZD6HmiNUhxXYf8Gch723","2022","Frank Ocean ~ Lost",34
"2EuqgpA1cTC95AQUgCcZHk","2022","Agnes Obel ~ September Song",34
"7xPQY7skgsujvvVyoE5lBi","2018","The Piano Guys ~ Beethoven's 5 Secrets",33
"3TgaPzOX2706KUeTyA7DFx","2018","The Piano Guys ~ Over the Rainbow / Simple Gifts",33
"0u2P5u6lvoDfwTYjAADbn4","2019","Billie Eilish ~ lovely (with Khalid)",33
"14JzyD6FlBD5z0wV5P07YI","2019","Billie Eilish ~ when the party's over",33
"0KAiuUOrLTIkzkpfpn9jb9","2020","Train ~ Drive By",33
"5brMyscUnQg14hMriS91ks","2021","The Chainsmokers ~ Kanye",33
"6WqlvnstFtcl7u4wMceuZw","2021","Luca ~ Ocean",33
"4Dnss7a0Fobyvw2aWBnDzm","2021","Jai Wolf ~ Starlight",33
"0viadwJp8Hb1oh9OaTcup6","2022","ODESZA ~ Higher Ground (Reprise) - Instrumental",33
"5cmXltM1Wr7QpG2OddDUtz","2022","Sleeping At Last ~ Life",33
"1B62o4CbdL9ckGvwsz2cgn","2022","SYML ~ Where's My Love",33
"4CxFN5zON70B3VOPBYbd6P","2022","Jeremy Zucker ~ you were good to me",33
"4bisT9khxJYFKaoG8pxq5h","2018","Nicky Jam ~ Hasta el Amanecer (feat. Daddy Yankee) - The Remix",32
"1Pw5C4N6Fn5E4mGCxmbbVa","2018","James Arthur ~ Say You Won't Let Go",32
"7q8jJ1XZEliBakZSUMFde5","2018","Cheat Codes ~ Stay With You",32
"25U7raB3ZSszayTYClh4hF","2020","Israel Kamakawiwo'ole ~ Somewhere Over The Rainbow_What A Wonderful World",32
"7a86XRg84qjasly9f6bPSD","2020","fun. ~ We Are Young (feat. Janelle Monae)",32
"4GR9MdPIvrkxcEJ4RUbxPk","2022","RL Grime ~ Atoms - Said the Sky Remix",32
"2ISSQPb9LHHiV6ng2NXosL","2022","Zedd ~ Beautiful Now",32
"1crCLgOulu6LnP22sd2rX2","2022","EMBRZ ~ Sleeptalking",32
"7v7BgWqCYaEHfgbJeZTzdR","2022","Johnny Stimson ~ Smile",32
"1zyMwU1NtRDkuQWthUbGsL","2022","ODESZA ~ Thin Floors And Tall Ceilings",32
"1wpyVNJcutD5uYyjDreWaW","2018","The Piano Guys ~ Let It Go",31
"7uPjTNg3IKOBpeWgH4TUpp","2018","Nicky Jam ~ Mi Maldicion (feat. Cosculluela)",31
"1bhUWB0zJMIKr9yVPrkEuI","2018","Ed Sheeran ~ Perfect Duet (Ed Sheeran & Beyonce)",31
"3YPhgbRDotBitv4FQBnoum","2019","Mauve ~ Just Stay",31
"2JqnpexlO9dmvjUMCaLCLJ","2019","Lukas Graham ~ Love Someone",31
"4VuD8WNAOnyaQ3OIxTi72J","2019","Mitch James ~ Move On",31
"7a5RvlW5tMU0AZ4tvbGLhn","2019","Russ ~ September 16",31
"14BH4qO7pgCmIe6mgLKOK3","2019","BANNERS ~ Someone To You",31
"7bdYxWPCs46dQ0XLwySOyv","2019","Jeremy Zucker ~ better off",31
"3gbBpTdY8lnQwqxNCcf795","2020","Bastille ~ Pompeii",31
"4rCKRVJZKVysScn2piDuOT","2020","Superorganism ~ Something For Your M.I.N.D.",31
"7pt64sepCy5QmDrgy9wOJS","2020","Kamal. ~ blue",31
"0GzuHFG4Ql6DoyxFRnIk3F","2021","Maluma ~ Hawai - Remix",31
"1EzrEOXmMH3G43AXT1y7pA","2021","Jason Mraz ~ I'm Yours",31
"1FFd5yEjDOnQF6pRvyyaBC","2021","Mr. Probz ~ Nothing Really Matters - Afrojack Remix",31
"2R0FW1n6cOkQDJhAkQENsf","2021","Ed Sheeran ~ Perfect",31
"4NVwMupCTfITPXetR5aozp","2021","Alaina Castillo ~ pass you by",31
"0gOz9JUXsaKVzLTSmFDtdo","2022","Jess Benko ~ A Soulmate Who Wasn't Meant to Be",31
"7tRXTDi87CiAqU5sIBQfIC","2022","ODESZA ~ Behind The Sun",31
"68PJWzJj2utbLBErEt7THk","2022","San Holo ~ IT HURTS!",31
"6PGoSes0D9eUDeeAafB2As","2022","Kendrick Lamar ~ LOVE. FEAT. ZACARI.",31
"3Up1MsHqcxUVgB2iuqFRq2","2022","Kasbo ~ Shut The World Out",31
"0hNduWmlWmEmuwEFcYvRu1","2022","Petit Biscuit ~ Sunset Lover",31
"2RyLgb5hpvheoOPTpJvTf3","2022","Grant ~ Where Will We Go",31
"0ElpbbncWT9aS7mgoqEHbQ","2022","SYML ~ Where's My Love - Acoustic",31
"1kvkYrjZh561EJwERr8EsK","2022","mehro ~ perfume",31
"43zdsphuZLzwA9k4DJhU0I","2022","Billie Eilish ~ when the party's over",31
"1nO4EGuBjR75IGbFYzqPxO","2018","Maluma ~ Carnaval",30
"2vvdTrdryjsl8DmPIMDWZU","2018","Enrique Iglesias ~ EL BANO (feat. Bad Bunny)",30
"5CLGzJsGqhCEECcpnFQA8x","2018","Rudimental ~ These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",30
"41zXlQxzTi6cGAjpOXyLYH","2018","Billie Eilish ~ idontwannabeyouanymore",30
"08wUcJKJ4TvbPOYwfzavt3","2019","Fancy Cars ~ Fun",30
"7njKgVl3AnLflRad38o7AG","2019","Bazzi ~ Paradise",30
"0LqRum57A3S9IaE64UDRzO","2019","Naughty Boy ~ Undo (with Calum Scott & Shenseea)",30
"5FEXPoPnzueFJQCPRIrC3c","2020","Kid Cudi ~ Day 'N' Nite (nightmare)",30
"7cM9Kqto11iJpY2RwgVJSq","2020","Quinn XCII ~ Flare Guns",30
"7cflqPPi3zWfLFRRBTWeh6","2020","Jeremy Zucker ~ talk is overrated",30
"0psS4i5YooJrXfDnGvWRLi","2021","Billie Eilish ~ Lo Vas A Olvidar (with ROSALIA)",30
"2FSV4xIabxahlR1drE9XW8","2021","Miguel ~ Remember Me (Duo) - From """"Coco"""" / Steerner Remix",30
"7zi9FrMOL4a9c3pVCGXzKc","2021","Bazzi ~ Renee's Song",30
