"Season","Artist","Plays"
"Fall","Baby Smoove",43
"Fall","Drake, 21 Savage",43
"Fall","Shoreline Mafia",43
"Spring","Lil Baby, Gunna",43
"Spring","Of Monsters and Men",43
"Spring","Offset",43
"Winter","Eminem",43
"Spring","DaBaby",42
"Summer","Big Sean",42
"Winter","Ahmir",42
"Winter","Arctic Monkeys",42
"Fall","Grouplove",41
"Spring","Hermitude",41
"Winter","Chuck Strangers",41
"Winter","GoldLink",41
"Fall","Pusha T, Kanye West",40
"Spring","Machine Gun Kelly",40
"Summer","Chester Watson",40
"Winter","Brent Faiyaz",40
"Fall","KAYTRANADA",39
"Spring","Baby Keem",39
"Spring","Big Sean",39
"Summer","Domo Genesis",39
"Winter","Seafood Sam",39
"Winter","Yeat",39
"Fall","Hippo Campus",38
"Fall","Odd Future",38
"Spring","Lupe Fiasco",38
"Spring","Rich Brian",38
"Winter","G Herbo",38
"Winter","Kanye West, JAY-Z",38
"Fall","Joey Purp",37
"Spring","EST Gee",37
"Spring","Kevin Gates",37
"Spring","Metro Boomin",37
"Summer","Royce da 5'9",37
"Summer","Yung Bans",37
"Winter","Lil Uzi Vert, Future",37
"Winter","Rick Ross",37
"Winter","Swae Lee, Slim Jxmmi, Rae Sremmurd",37
"Spring","Miguel",36
"Spring","Young Thug, Young Stoner Life, Gunna",36
"Winter","Kill Jasper",36
"Winter","Russ",36
"Fall","2 Chainz",35
"Fall","Madlib, Freddie Gibbs",35
"Fall","Mere Raj",35
"Fall","SOB X RBE",35
"Spring","21 Savage",35
"Spring","Calvin Harris",35
"Spring","tsubi club",35
"Summer","J.I the Prince of N.Y",35
"Summer","Macklemore & Ryan Lewis",35
"Summer","Patrick Cc:, Jonah Zed",35
"Winter","Common",35
"Fall","Free Nationals",34
"Fall","Polo G",34
"Fall","The Cure",34
"Spring","Chuck Strangers",34
"Spring","The Isley Brothers",34
"Summer","Felly",34
"Summer","The 1975",34
"Winter","Odd Future",34
"Fall","MIKNNA, Kadhja Bonet, JID, Free Nationals",33
"Fall","Of Monsters and Men",33
"Fall","Pink Floyd",33
"Fall","Taihaul",33
"Spring","Common",33
"Spring","Young Stoner Life",33
"Summer","Beach House",33
"Summer","Lil Keed",33
"Summer","Lil Uzi Vert, Future",33
"Winter","Carnage",33
"Winter","Lance Skiiiwalker",33
"Winter","Travis Scott, JACKBOYS",33
"Fall","Freddie Gibbs",32
"Spring","Madlib, Freddie Gibbs",32
"Summer","Imagine Dragons",32
"Winter","Knxwledge",32
"Winter","ScHoolboy Q, Saudi, Kendrick Lamar, 2 Chainz",32
"Winter","Tyga",32
"Winter","tsubi club",32
"Fall","Juicy J",31
"Spring","Lil Keed",31
"Summer","Miguel",31
"Summer","Symere Woods",31
"Winter","G-Eazy, Bebe Rexha",31
"Winter","Quavo, Quality Control, Lil Yachty",31
"Winter","Young Thug, Travis Scott",31
"Fall","Foo Fighters",30
"Fall","OutKast",30
"Fall","Patrick Cc:",30
"Fall","Pop Smoke",30
"Spring","Ariana Grande",30
"Spring","Wale",30
"Summer","Macklemore",30
"Winter","DaBaby",30
"Winter","Daniyel",30
"Winter","Smokepurpp",30
"Winter","Travis Scott, Kendrick Lamar",30
"Winter","Ugly God",30
"Fall","Kodak Black",29
"Fall","Smino, Ravyn Lenae",29
"Spring","Action Bronson",29
"Spring","GoldLink",29
"Spring","Kirk Knight",29
"Spring","Wiz Khalifa",29
"Spring","nothing,nowhere.",29
"Summer","Arctic Monkeys",29
"Summer","Cordae",29
"Summer","Curtis Roach",29
"Winter","KuiBtw",29
"Winter","Zacari",29
"Fall","Metro Boomin, 21 Savage",28
"Fall","Smokepurpp",28
"Fall","Snoop Dogg",28
"Spring","Jalen Santoy",28
"Spring","Koi",28
"Spring","MF DOOM, CZARFACE",28
"Spring","Maroon 5",28
"Spring","Neon Trees",28
"Spring","Pop Smoke",28
"Spring","Slippery Salazar, Aries",28
"Spring","Young Thug, Future",28
"Summer","Common",28
"Summer","Smokepurpp",28
"Winter","Action Bronson",28
"Winter","DJ Dahi, Brent Faiyaz",28
"Fall","Mick Jenkins, Da-P",27
"Fall","OneRepublic",27
"Spring","Don Toliver",27
"Summer","Astrel K",27
"Summer","Black Eyed Peas",27
"Summer","EST Gee",27
"Summer","Maroon 5",27
"Summer","OneRepublic",27
"Summer","Rick Ross",27
"Summer","YBN Nahmir",27
"Summer","Young Thug, Young Stoner Life",27
"Winter","Daniel Caesar, Brandy",27
"Winter","Slippery Salazar, Aries",27
"Winter","blackbear",27
"Fall","KIDS SEE GHOSTS",26
"Fall","Migos, Marshmello",26
"Fall","YBN Nahmir",26
"Spring","Gorillaz",26
"Spring","Royce da 5'9",26
"Spring","Young Thug, Travis Scott",26
"Summer","Coldplay",26
"Summer","Don Toliver",26
"Summer","JID, Dreamville, Bas",26
"Summer","Jasiah, Dro Kenji",26
"Summer","Juice WRLD, Future",26
"Summer","Kanye West, Chris Martin",26
"Summer","Lily Allen",26
"Summer","NAV, Metro Boomin",26
"Summer","Patrick Cc:",26
"Summer","Roddy Ricch, Mustard",26
"Winter","Breakbot",26
"Winter","Desiigner",26
"Winter","James Blake",26
"Winter","SZA, Kendrick Lamar",26
"Winter","YoungBoy Never Broke Again",26
"Winter","twenty one pilots",26
"Fall","BORNS",25
"Fall","Mustard",25
"Fall","NAV",25
"Fall","blackbear",25
"Spring","2forwOyNE",25
"Spring","Ab-Soul",25
"Spring","Blaccmass",25
"Spring","Jeremih",25
"Spring","Kanye West, JAY-Z",25
"Spring","Kendrick Lamar, Blxst, Amanda Reifer",25
"Spring","The Notorious B.I.G.",25
"Summer","6ix9ine",25
"Summer","J. Cole, Dreamville",25
"Summer","Kanye West, DJ Premier",25
"Summer","OutKast",25
"Summer","Quality Control, Lil Baby, DaBaby",25
"Summer","Usher",25
"Winter","EARTHGANG",25
"Winter","KYLE",25
"Winter","OneRepublic",25
"Winter","Sol.Luna",25
"Fall","ALLBLACK",24
"Fall","Calvin Harris",24
"Fall","Smino, Jay2, Bari",24
"Fall","Van Morrison",24
"Spring","UB40",24
"Spring","WESTSIDE BOOGIE",24
"Summer","BORNS",24
"Summer","Bruno Mars",24
"Summer","DJ Dahi, Brent Faiyaz",24
"Summer","Kirk Knight",24
"Summer","Lupe Fiasco",24
"Summer","Metro Boomin",24
"Summer","NAV",24
"Summer","Rihanna",24
"Summer","Sheck Wes",24
"Summer","Ski Mask the Slump God",24
"Summer","THE CARTERS",24
"Summer","The Instrumentals",24
"Winter","John Givez",24
"Winter","Maroon 5",24
"Winter","Tee Grizzley, Takeoff, Quality Control",24
"Winter","Travis Scott, Quality Control, Offset",24
"Winter","Young Thug, Young Stoner Life",24
"Winter","whiterosemoxie, Kato On The Track",24
"Fall","Beach House",23
"Fall","CJ Fly",23
"Fall","Roy Woods",23
"Spring","Jack Harlow, Felly",23
"Spring","Lil Mosey",23
"Spring","Madvillain, Madlib, MF DOOM",23
"Spring","Vladimir Fedoseyev, Moscow RTV Symphony Orchestra",23
"Spring","Ye Ali, Jazz Cartier",23
"Summer","A Tribe Called Quest",23
"Summer","Bas",23
"Summer","Diplo",23
"Summer","Dro Kenji, DC The Don",23
"Summer","Lute, J. Cole, Dreamville",23
"Summer","Shay Lia, KAYTRANADA",23
"Winter","Baby Smoove",23
"Winter","Dro Kenji",23
"Winter","Marco Luka",23
"Winter","Nicki Minaj, Migos, Cardi B",23
"Fall","Ariana Grande",22
"Fall","Bas",22
"Fall","Chief Keef",22
"Fall","Common",22
"Fall","Domo Genesis",22
"Fall","Flipp Dinero",22
"Fall","Greta Van Fleet",22
"Fall","MadeinTYO",22
"Fall","Ms. Danniboo, DJ Rell",22
"Spring","Bhad Bhabie",22
"Spring","BlocBoy JB",22
"Spring","Odd Future",22
"Spring","Rick Ross, Kanye West",22
"Spring","Snoh Aalegra",22
"Spring","The Cure",22
"Summer","Bad Bunny",22
"Summer","Chief Keef",22
"Summer","David Guetta",22
"Summer","Mustard",22
"Summer","Swae Lee, Slim Jxmmi, Rae Sremmurd",22
"Summer","T-Pain, Kanye West",22
"Summer","Ugly God",22
"Summer","YoungBoy Never Broke Again",22
"Winter","Cruza",22
"Winter","Freddie Gibbs",22
"Winter","Guapdad 4000, !llmind",22
"Winter","Mustard, Migos",22
"Winter","Quavo, Quality Control",22
"Fall","BJ the Chicago Kid",21
"Fall","Bruno Mars",21
"Fall","Daniyel",21
"Fall","Jeezy",21
"Fall","Lupe Fiasco",21
"Fall","Phantogram",21
"Fall","Raekwon, Kid Cudi, Kanye West",21
"Fall","Stevie Wonder",21
"Fall","nothing,nowhere.",21
"Spring","Black Eyed Peas",21
"Spring","Chester Watson",21
"Spring","Doja Cat",21
"Spring","Empire of the Sun",21
"Spring","Fleetwood Mac",21
"Spring","Quality Control, Migos",21
"Summer","Flo Rida",21
"Summer","Kendrick Lamar, Baby Keem",21
"Summer","Mos Def, Kanye West, Al Be Back",21
"Summer","Neon Trees",21
"Summer","Rick Ross, Kanye West",21
"Summer","Shoreline Mafia",21
"Summer","twenty one pilots",21
"Summer","whiterosemoxie, Tom The Mail Man",21
"Winter","Beast Coast",21
"Winter","Coldplay",21
"Winter","Dion",21
"Winter","Metro Boomin, Big Sean",21
"Winter","Swae Lee, Khalid",21
"Winter","T-Pain",21
"Winter","YBN Nahmir",21
"Fall","Don Toliver",20
"Fall","Jason Derulo",20
"Fall","Kanye West, JAY-Z",20
"Fall","Wiz Khalifa",20
"Spring","50 Cent",20
"Spring","Pusha T, Kanye West",20
"Spring","Tory Lanez, Rich The Kid",20
"Summer","Pink Floyd",20
"Summer","The Cure",20
"Summer","Young Thug, Future",20
"Summer","Young Thug, Travis Scott",20
"Summer","Zacari",20
"Winter","Big K.R.I.T.",20
"Winter","Bruno Mars",20
"Winter","DJ Luke Nasty",20
"Winter","Kenny Beats, Denzel Curry",20
"Winter","Landon Cube",20
"Winter","Neon Trees",20
"Winter","Sting, Shaggy",20
"Winter","Syndicate Sound Labs",20
"Winter","The Chords",20
"Fall","Comethazine",19
"Fall","Elroy",19
"Fall","Rapsody",19
"Fall","Trippie Redd, Khalil, Cydnee with a C",19
"Fall","UB40",19
"Fall","whiterosemoxie, Tom The Mail Man",19
"Spring","Brent Faiyaz",19
"Spring","Fekky",19
"Spring","Landon Cube",19
"Spring","Lil Uzi Vert, Future",19
"Spring","Olivia Rodrigo",19
"Spring","OneRepublic",19
"Spring","Smokepurpp",19
"Summer","DRAM",19
"Summer","Dreamville",19
"Summer","Haiti Babii",19
"Summer","Kendrick Lamar, Blxst, Amanda Reifer",19
"Summer","Lil Baby, 42 Dugg",19
"Summer","Marshmello, Juice WRLD",19
"Summer","Pitbull",19
"Summer","Pusha T, Kanye West",19
"Summer","The Script",19
"Summer","Vince Staples, Mustard",19
"Summer","Yeat",19
"Winter","Bankrol Hayden",19
"Winter","Chris Brown",19
"Winter","Cosmo Pyke",19
