"ID","Year","Song","Plays"
"4n1bdaKwynQndm47x5HqWX","2018","Drake ~ Blue Tint",11
"6sy3LkhNFjJWlaeSMNwQ62","2018","OneRepublic ~ Counting Stars",11
"1BxkZE73h9BN3qwuA15TA3","2018","Lil Baby ~ Drip Too Hard",11
"69kOkLUCkxIZYexIgSG8rq","2018","Daft Punk ~ Get Lucky (feat. Pharrell Williams and Nile Rodgers)",11
"6V1bu6o1Yo5ZXnsCJU8Ovk","2018","Maroon 5 ~ Girls Like You (feat. Cardi B) - Cardi B Version",11
"3atCD3dVosUsd3KM2yzfeC","2018","Logic ~ Grandpa's Space Ship",11
"4EWCNWgDS8707fNSZ1oaA5","2018","Kanye West ~ Heartless",11
"0ENSn4fwAbCGeFGVUbXEU3","2018","Adele ~ Hello",11
"2xmrfQpmS2iJExTlklLoAL","2018","Clean Bandit ~ I Miss You (feat. Julia Michaels)",11
"7DuvVy7JfFgXwWlVzyyPys","2018","Big Sean ~ Pull Up N Wreck (& Metro Boomin)",11
"25oOaleife6E2MIKmFkPvg","2018","Young Thug ~ Relationship (feat. Future)",11
"5GG3knKdxKWrNboRijxeKF","2018","Bryson Tiller ~ Run Me Dry",11
"790MhTXPFrYkrqCKvpg4t1","2018","NAV ~ Wanted You (feat. Lil Uzi Vert)",11
"7wdzLe2Gsx1RGqbvYZHASz","2018","Kendrick Lamar ~ i",11
"5hhVpGIBlqAU5yJEOmrk5o","2019","Led Zeppelin ~ All My Love - Remaster",11
"4KcH1ZRV2W1q7Flq0QqC76","2019","Ramones ~ Blitzkrieg Bop - 2016 Remaster",11
"4356Typ82hUiFAynbLYbPn","2019","Usher ~ DJ Got Us Fallin' In Love (feat. Pitbull)",11
"2r1CHpKRDdzHGJScn5UqjX","2019","Shankar Mahadevan ~ Dil Chahta Hai",11
"3sz2fvkHUhBip8r9i8HqeV","2019","G-Eazy ~ Down For Me (feat. 24hrs)",11
"2gE95JskwQ1pCACTpGe1Db","2019","Creedence Clearwater Revival ~ Down On The Corner",11
"1JSTJqkT5qHq8MDJnJbRE1","2019","The Police ~ Every Breath You Take",11
"5tVA6TkbaAH9QMITTQRrNv","2019","Tom Petty ~ Free Fallin'",11
"4JehYebiI9JE8sR8MisGVb","2019","Beyonce ~ Halo",11
"4aVuWgvD0X63hcOCnZtNFA","2019","TOTO ~ Hold the Line",11
"6Z1zJjEXLrszqTPol6bfFV","2019","Wings ~ Live And Let Die - Remastered 1993",11
"3FCto7hnn1shUyZL42YgfO","2019","Billy Joel ~ Piano Man",11
"7BgUsF8L4cMhtBlPzo8den","2019","The Beatles ~ She's Leaving Home",11
"7vGuf3Y35N4wmASOKLUVVU","2019","Marshmello ~ Silence",11
"1mSClObliRtgPVT399COQH","2019","Queen ~ Under Pressure",11
"3d9DChrdc6BOeFsbrZ3Is0","2019","Red Hot Chili Peppers ~ Under the Bridge",11
"36gPq8WG7tDxrblyGVUCiT","2019","Creedence Clearwater Revival ~ Up Around The Bend",11
"5zA8vzDGqPl2AzZkEYQGKh","2019","Billy Joel ~ Uptown Girl",11
"2ZDRkJrKbceJRgLKkuex14","2020","Kid Cudi ~ 4 Da Kidz",11
"6S5dMjMifQYmyTu1mX4f8P","2020","Bryson Tiller ~ Blame",11
"2n7Ao4nyESBa5ti8gcAbBt","2020","Kid Cudi ~ Damaged",11
"29b2b96jozyD9GPCkOrVLs","2020","The Beatles ~ Day Tripper - Remastered 2015",11
"60aNAlLAoWi0Zkfpowsmcl","2020","Bryson Tiller ~ For However Long",11
"2Ec33AVlkTTq8BHFgBTdQs","2020","Lil Uzi Vert ~ Futsal Shuffle 2020",11
"7BxpObs6K7Yio5lVb3sMYX","2020","Lil Mosey ~ G Walk (with Chris Brown)",11
"1PS1QMdUqOal0ai3Gt7sDQ","2020","Kanye West ~ Gold Digger",11
"5CaXxLM568tBh1PwhXdciZ","2020","Kanye West ~ Good Morning",11
"2koUj1Fn5TKFEkChSmBPIb","2020","Kid Cudi ~ Heaven On Earth",11
"39a23fzBmNlAzz7fHok1Jo","2020","Bryson Tiller ~ Intro (Difference)",11
"0K9sZNhqS5GLJ1DlDanS4f","2020","Queen ~ Is This The World We Created - Live at Wembley '86",11
"5g1vtHqi9uV7xtYeCcFOBx","2020","Kanye West ~ Jesus Walks",11
"4mKlzy0qaK1c2Qw5e2VqpF","2020","Queen ~ Killer Queen",11
"4gbVRS8gloEluzf0GzDOFc","2020","Maroon 5 ~ Maps",11
"4NeOWqHmlrGRuBvsLJC9rL","2020","Justin Timberlake ~ My Love (feat. T.I.)",11
"6nek1Nin9q48AVZcWs9e9D","2020","Coldplay ~ Paradise",11
"4J9SI7do4KOEsCexqEbjmR","2020","Kid Cudi ~ Rockstar Knights (with Trippie Redd)",11
"3EYOJ48Et32uATr9ZmLnAo","2020","The Police ~ Roxanne",11
"7qRkTZCyMO7oBV33E2TapJ","2020","Bryson Tiller ~ Sorry Not Sorry",11
"6NwhtCYkfwWlcR62Ac4E7y","2020","Drake ~ Successful (feat. Trey Songz & Lil Wayne)",11
"1wJRveJZLSb1rjhnUHQiv6","2020","A Boogie Wit da Hoodie ~ Swervin (feat. 6ix9ine)",11
"0rTV5WefWd1J3OwIheTzxM","2020","Khalid ~ Talk",11
"1mSClObliRtgPVT399COQH","2020","Queen ~ Under Pressure",11
"6Ius4TC0L3cN74HT7ENE6e","2020","J. Cole ~ Wet Dreamz",11
"3Q3myFA7q4Op95DOpHplaY","2020","blackbear ~ do re mi",11
"22L7bfCiAkJo5xGSQgmiIO","2021","Kanye West ~ All Of The Lights",11
"2Z8cY4QpZTFUZxCQCpvNe1","2021","The Beatles ~ All You Need Is Love - Remastered 2009",11
"05KOgYg8PGeJyyWBPi5ja8","2021","Drake ~ Free Smoke",11
"7BxpObs6K7Yio5lVb3sMYX","2021","Lil Mosey ~ G Walk (with Chris Brown)",11
"4CWZOyb9YHIH06yfsvY6k1","2021","Sigala ~ Give Me Your Love (feat. Nile Rodgers)",11
"3AszgPDZd9q0DpDFt4HFBy","2021","Outkast ~ Hey Ya!",11
"366wf5kMxgFOWA9ts6ocpa","2021","Jack Harlow ~ ICE",11
"748mdHapucXQri7IAO8yFK","2021","Doja Cat ~ Kiss Me More (feat. SZA)",11
