"Month","Artist","Plays"
"01","AJ Mitchell",18
"01","Amine",18
"01","Big Sean",18
"02","Bruno Major",18
"02","Cheat Codes",18
"02","Christian French",18
"02","John Legend",18
"02","VAX",18
"03","Avicii",18
"03","SRTW",18
"04","Cat Burns",18
"04","Drake",18
"04","FKJ",18
"04","Kamal.",18
"04","SAINt JHN",18
"04","San Holo",18
"04","Travis Scott",18
"04","VAX",18
"05","Akon",18
"05","Jason Mraz",18
"05","Joji",18
"05","Kendrick Lamar",18
"05","VAX",18
"05","keshi",18
"06","Anson Seabra",18
"06","Bazzi",18
"06","Bryson Tiller",18
"06","Cheat Codes",18
"06","Coldplay",18
"06","Pedro Capo",18
"06","Vishal-Shekhar",18
"07","Bastille",18
"07","Jaden",18
"07","Mau y Ricky",18
"07","Neon Trees",18
"08","Alina Baraz",18
"08","Anson Seabra",18
"08","Christian French",18
"08","Daniel Caesar",18
"08","Don Diablo",18
"08","James Blake",18
"08","Jon Bellion",18
"08","Kina",18
"08","Maluma",18
"08","Novo Amor",18
"08","OneRepublic",18
"09","Arijit Singh",18
"09","Coldplay",18
"09","Patrick Watson",18
"09","SAINt JHN",18
"09","Tate McRae",18
"09","The Cinematic Orchestra",18
"10","Bruno Mars",18
"10","Kina",18
"10","Lolo Zouai",18
"10","Vishal-Shekhar",18
"11","Ariana Grande",18
"11","Jaden",18
"11","Juke Ross",18
"11","Lindsey Stirling",18
"11","OneRepublic",18
"11","Why Don't We",18
"11","Zaeden",18
"11","ayokay",18
"12","Alina Baraz",18
"12","Amine",18
"12","Big Sean",18
"12","Jose Anos",18
"12","Lolobe",18
"12","Nina Linea",18
"12","Soprano",18
"12","Timal",18
"01","Herdis Stefansdottir",17
"01","Kygo",17
"01","Pentatonix",17
"02","BETWEEN FRIENDS",17
"03","Masego",17
"03","XXXTENTACION",17
"04","Coldplay",17
"04","Declan McKenna",17
"04","Kasbo",17
"04","Mike Posner",17
"04","SZA",17
"04","Train",17
"05","6LACK",17
"05","Bruno Mars",17
"05","CNCO",17
"05","Coldplay",17
"05","George Ezra",17
"05","Gryffin",17
"05","Jon Bellion",17
"05","Kamal.",17
"06","Galantis",17
"06","Gryffin",17
"06","Major Lazer",17
"06","Marshmello",17
"06","Novo Amor",17
"07","Gryffin",17
"07","Hillsong Instrumentals",17
"07","Jon Bellion",17
"07","Mr. Probz",17
"07","Rex Orange County",17
"07","Sean Kingston",17
"08","Madison Beer",17
"08","Noah Cyrus",17
"08","Rihanna",17
"09","Akon",17
"09","Avicii",17
"09","FINNEAS",17
"09","H.E.R.",17
"09","J Balvin",17
"09","Kaskade",17
"09","Kendrick Lamar",17
"09","MAX",17
"09","Noah Cyrus",17
"09","Ollie MN",17
"10","Ali Gatie",17
"10","Anson Seabra",17
"10","Hozier",17
"10","James TW",17
"10","Jason Mraz",17
"10","John Mayer",17
"10","Noah Cyrus",17
"10","The Chainsmokers",17
"11","Bryce Vine",17
"11","Finding Hope",17
"11","Jason Mraz",17
"11","Labrinth",17
"11","Novo Amor",17
"11","Travis Scott",17
"12","Alonzo",17
"12","Borgeous",17
"12","Dean Lewis",17
"12","Evan Rachel Wood",17
"12","Mike Donelli",17
"12","Ski Mask The Slump God",17
"12","Tyler and Mark",17
"01","6LACK",16
"01","Lolo Zouai",16
"01","Sam Smith",16
"01","Shadow",16
"01","ZAYN",16
"02","Big Sean",16
"02","ILLENIUM",16
"02","Lost Kings",16
"02","Marshmello",16
"02","PRETTYMUCH",16
"02","Ruth B.",16
"02","Sasha Alex Sloan",16
"02","Train",16
"03","Bryant Myers",16
"03","Chelsea Cutler",16
"03","Lofi Fruits Music",16
"03","PRETTYMUCH",16
"03","Shallou",16
"03","Train",16
"04","Anderson .Paak",16
"04","Arijit Singh",16
"04","Ashe",16
"04","BROCKHAMPTON",16
"04","Bruno Major",16
"04","Giveon",16
"04","KSHMR",16
"04","Lost Kings",16
"04","Mat Kearney",16
"04","Party Favor",16
"04","UMI",16
"05","Alan Menken",16
"05","JP Cooper",16
"05","James TW",16
"05","Jonas Blue",16
"05","KSHMR",16
"05","Mau y Ricky",16
"05","Selena Gomez",16
"05","Ski Mask The Slump God",16
"06","Emmit Fenn",16
"06","Faime",16
"06","KSHMR",16
"06","Neon Trees",16
"06","Takagi & Ketra",16
"06","XXXTENTACION",16
"07","Atif Aslam",16
"07","Kane Brown",16
"07","Maluma",16
"07","Pitbull",16
"07","Roy Woods",16
"07","Takagi & Ketra",16
"07","keshi",16
"08","Arijit Singh",16
"08","Emmit Fenn",16
"08","FINNEAS",16
"08","Fuse ODG",16
"08","Harry Styles",16
"08","Joji",16
"08","Lewis Capaldi",16
"08","PRETTYMUCH",16
"08","Pitbull",16
"08","RL Grime",16
"08","Ruel",16
"08","Sasha Alex Sloan",16
"09","Alan Walker",16
"09","Ali Gatie",16
"09","Andy Grammer",16
"09","Big Sean",16
"09","Jai Wolf",16
"09","UMI",16
"10","Bryson Tiller",16
"10","CNCO",16
"10","Fiji Blue",16
"10","Kodaline",16
"10","Miguel",16
"10","PRETTYMUCH",16
"10","Sia",16
"11","6LACK",16
"11","Herdis Stefansdottir",16
"11","Julia Michaels",16
"11","Kevin Garrett",16
"11","ZAYN",16
"12","Chino Mambo",16
"12","DESTIN CONRAD",16
"12","Fuse ODG",16
"12","Godinez",16
"12","Kamal.",16
"12","Kaskade",16
"12","Kina",16
"12","OneRepublic",16
"12","PRETTYMUCH",16
"12","Roxy Tones",16
"12","Trinidad Cardona",16
"12","ayokay",16
"01","Daniel Caesar",15
"01","Gryffin",15
"01","James Arthur",15
"01","Jason Mraz",15
"01","Lennon Stella",15
"01","SRTW",15
