"MonthYear","Artist","Plays"
"2022-09","Cage The Elephant",25
"2022-09","Coldplay",25
"2022-10","Kid Cudi",25
"2022-12","The Beatles",25
"2019-02","J. Cole",24
"2019-04","Lil Wayne",24
"2019-05","Kendrick Lamar",24
"2019-05","Logic",24
"2019-08","NAV",24
"2019-08","Post Malone",24
"2019-08","YNW Melly",24
"2019-09","Marshmello",24
"2019-11","Osibih",24
"2019-12","Young Thug",24
"2020-02","Lil Uzi Vert",24
"2020-03","Billie Eilish",24
"2020-04","Tory Lanez",24
"2020-04","Tyler, The Creator",24
"2020-07","Queen",24
"2020-09","Calvin Harris",24
"2020-10","Calvin Harris",24
"2020-12","KIDS SEE GHOSTS",24
"2021-01","Aliotta Haynes Jeremiah",24
"2021-02","Kanye West",24
"2021-03","Jack Harlow",24
"2021-07","Travis Scott",24
"2021-08","The Weeknd",24
"2021-09","Arctic Monkeys",24
"2022-01","Kid Cudi",24
"2022-03","Beach House",24
"2022-06","Cage The Elephant",24
"2022-09","The Beatles",24
"2022-12","Queen",24
"2018-09","Drake",23
"2019-03","J. Cole",23
"2019-10","Twenty One Pilots",23
"2019-12","Lil Mosey",23
"2019-12","Osibih",23
"2020-03","Jethro Tull",23
"2020-12","Playboi Carti",23
"2021-03","24kGoldn",23
"2021-03","Traffic",23
"2021-06","Cage The Elephant",23
"2021-06","MGMT",23
"2021-08","The Beatles",23
"2021-09","Lil Nas X",23
"2021-11","Baby Keem",23
"2021-12","Laffey",23
"2022-01","Future",23
"2022-01","Juice WRLD",23
"2022-01","Playboi Carti",23
"2022-03","Calvin Harris",23
"2022-04","Post Malone",23
"2022-08","Kid Cudi",23
"2022-08","The Beatles",23
"2022-10","Thundercat",23
"2016-04","Benny Benassi",22
"2016-04","Shakira",22
"2017-11","Childish Gambino",22
"2018-02","Drake",22
"2019-01","Lil Wayne",22
"2019-02","Meek Mill",22
"2019-05","Marshmello",22
"2019-07","Shankar Mahadevan",22
"2019-07","Travis Scott",22
"2019-07","blackbear",22
"2019-11","Arizona Zervas",22
"2020-02","The Beatles",22
"2020-03","Lil Uzi Vert",22
"2020-03","Tyler, The Creator",22
"2020-11","Jimi Hendrix",22
"2021-06","Tyler, The Creator",22
"2022-02","Drake",22
"2022-02","Kendrick Lamar",22
"2022-03","Gunna",22
"2022-03","whiterosemoxie",22
"2022-04","Roddy Ricch",22
"2022-06","Roddy Ricch",22
"2022-07","Frank Ocean",22
"2022-08","J. Cole",22
"2022-08","Lil Wayne",22
"2022-12","Drake",22
"2017-08","21 Savage",21
"2017-08","NAV",21
"2017-12","Childish Gambino",21
"2018-01","Logic",21
"2018-11","Post Malone",21
"2019-03","Ariana Grande",21
