"Season","Album","Plays"
"Fall","Logic ~ Bobby Tarantino",42
"Fall","OneRepublic ~ Dreaming Out Loud",42
"Fall","Tyler, The Creator ~ IGOR",42
"Fall","Thundercat ~ It Is What It Is",42
"Fall","The Weeknd ~ Kiss Land",42
"Spring","XXXTENTACION ~ 17",42
"Spring","Crystal Fighters ~ Cave Rave",42
"Spring","6ix9ine ~ DUMMY BOY",42
"Spring","Fitz and The Tantrums ~ More Than Just a Dream",42
"Spring","Playboi Carti ~ Playboi Carti",42
"Summer","Chance the Rapper ~ Coloring Book",42
"Summer","Drake ~ Nothing Was The Same",42
"Winter","J. Cole ~ Cole World: The Sideline Story",42
"Winter","Future ~ EVOL",42
"Winter","Kanye West ~ The College Dropout",42
"Fall","Cage The Elephant ~ Social Cues",41
"Spring","Boston ~ Boston",41
"Spring","Lil Wayne ~ I Am Not A Human Being",41
"Spring","J. Cole ~ KOD",41
"Spring","Childish Gambino ~ Kauai",41
"Summer","Dreamville ~ Revenge Of The Dreamers III",41
"Summer","The Weeknd ~ Trilogy",41
"Winter","Jack Harlow ~ Thats What They All Say",41
"Winter","Bryson Tiller ~ True to Self",41
"Winter","blackbear ~ digital druglord",41
"Fall","blackbear ~ hot girl bummer",40
"Spring","Coldplay ~ A Head Full of Dreams",40
"Spring","Migos ~ Culture",40
"Spring","Calvin Harris ~ Slide (feat. Frank Ocean & Migos)",40
"Summer","The Weeknd ~ Beauty Behind The Madness",40
"Summer","NAV ~ Perfect Timing",40
"Summer","NAV ~ RECKLESS",40
"Summer","Bruno Mars ~ Unorthodox Jukebox",40
"Winter","J. Cole ~ 4 Your Eyez Only",40
"Winter","Meek Mill ~ Championships",40
"Winter","Bryce Hase ~ Off the Planet",40
"Winter","Jack Harlow ~ Sweet Action",40
"Winter","The Beatles ~ The Beatles",40
"Fall","Jack Harlow ~ Loose",39
"Fall","Kendrick Lamar ~ Mr. Morale & The Big Steppers",39
"Summer","Migos ~ Culture II",39
"Summer","Cage The Elephant ~ Social Cues",39
"Summer","Baby Keem ~ no sense",39
"Winter","Tyler, The Creator ~ CALL ME IF YOU GET LOST",39
"Fall","Twenty One Pilots ~ Blurryface",38
"Fall","Chris Brown ~ Heartbreak on a Full Moon",38
"Fall","Eagles ~ Hotel California",38
"Summer","The Beatles ~ Please Please Me",38
"Summer","Coldplay ~ X&Y",38
"Winter","The Jackson 5 ~ Greatest Hits",38
"Winter","Don Toliver ~ No Idea",38
"Fall","Meek Mill ~ Championships",37
"Fall","Frank Ocean ~ Chanel",37
"Fall","Playboi Carti ~ Die Lit",37
"Fall","Future ~ EVOL",37
"Fall","Lil Mosey ~ G Walk (with Chris Brown)",37
"Fall","Bantu ~ Jackie Chan",37
"Fall","Wham! ~ LAST CHRISTMAS",37
"Fall","Metro Boomin ~ NOT ALL HEROES WEAR CAPES",37
"Fall","Veorra ~ Ruby",37
"Spring","The Beatles ~ 1",37
"Spring","SZA ~ Ctrl",37
"Spring","Shaan ~ Dil Chahta Hai",37
"Spring","Ariana Grande ~ My Everything",37
"Summer","Joey Bada$$ ~ 1999",37
"Summer","J. Cole ~ 4 Your Eyez Only",37
"Summer","6ix9ine ~ DUMMY BOY",37
"Summer","Led Zeppelin ~ Led Zeppelin IV",37
"Summer","Playboi Carti ~ Playboi Carti",37
"Summer","Bryson Tiller ~ T R A P S O U L",37
"Winter","Kid Cudi ~ Passion, Pain & Demon Slayin'",37
"Winter","Justin Bieber ~ Purpose",37
"Winter","Bruno Mars ~ Unorthodox Jukebox",37
"Winter","Post Malone ~ beerbongs & bentleys",37
"Fall","Osibih ~ Come Closer",36
"Fall","Jonas Blue ~ Fast Car",36
"Spring","Lorde ~ Pure Heroine",36
"Summer","Khalid ~ American Teen",36
"Summer","GoldLink ~ At What Cost",36
"Summer","Frank Ocean ~ Chanel",36
"Summer","Roddy Ricch ~ Please Excuse Me for Being Antisocial",36
"Winter","The Rolling Stones ~ Beggars Banquet",36
"Winter","Juice WRLD ~ Death Race For Love",36
"Winter","KIDS SEE GHOSTS ~ KIDS SEE GHOSTS",36
"Fall","Journey ~ 80s 100 Hits",35
"Fall","Joey Bada$$ ~ ALL-AMERIKKKAN BADA$$",35
"Fall","Aerosmith ~ Aerosmith",35
"Fall","Halsey ~ Complementary Colors",35
"Fall","Juice WRLD ~ Goodbye & Good Riddance",35
"Fall","Led Zeppelin ~ Led Zeppelin IV",35
"Fall","Marshmello ~ Project Dreams",35
"Spring","Khalid ~ American Teen",35
"Spring","Marshmello ~ Happier",35
"Spring","Bryce Vine ~ Lazy Fair",35
"Summer","Sunidhi Chauhan ~ Chennai Express",35
"Summer","Juice WRLD ~ Goodbye & Good Riddance",35
"Summer","Lil Wayne ~ I Am Not A Human Being II",35
"Summer","Jack Harlow ~ Loose",35
"Summer","2 Chainz ~ Pretty Girls Like Trap Music",35
"Summer","Clean Bandit ~ Rather Be (feat. Jess Glynne)",35
"Summer","Calvin Harris ~ Rollin (feat. Future & Khalid)",35
"Winter","Childish Gambino ~ Because the Internet",35
"Winter","David Bowie ~ Best of Bowie",35
"Winter","Ellie Goulding ~ Close To Me (feat. Swae Lee)",35
"Winter","Don Toliver ~ Donny Womack",35
"Winter","A Boogie Wit da Hoodie ~ Hoodie SZN",35
"Winter","Queen ~ The Works",35
"Fall","XXXTENTACION ~ 17",34
"Fall","Migos ~ Culture",34
