"Season","Album","Plays"
"Summer","Akon ~ Freedom",25
"Summer","88rising ~ Head In The Clouds",25
"Summer","Chelsea Cutler ~ How To Be Human",25
"Summer","RL Grime ~ NOVA",25
"Summer","Ed Sheeran ~ Shape of You",25
"Summer","Max Richter ~ Sleep",25
"Summer","Ed Sheeran ~ The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack)",25
"Winter","Ninho ~ Comme prevu",25
"Winter","Metro Boomin ~ HEROES & VILLAINS",25
"Winter","Pritam ~ Kalank",25
"Winter","Whethan ~ Life of a Wallflower, Vol. 1",25
"Winter","Calum Scott ~ Only Human",25
"Winter","Maluma ~ PB.DB. The Mixtape",25
"Winter","Sleeping At Last ~ The Twilight Saga: Breaking Dawn - Part 1",25
"Winter","Nidza Bleja ~ Worldwide Vol.2016",25
"Winter","Kamal. ~ blue",25
"Fall","Ed Sheeran ~ =",24
"Fall","Lewis Capaldi ~ Before You Go",24
"Fall","Morgan Page ~ Fire & Gold",24
"Fall","Rihanna ~ Good Girl Gone Bad: Reloaded",24
"Fall","Masego ~ Lady Lady",24
"Fall","CNCO ~ Llegaste Tu",24
"Fall","Maluma ~ Pretty Boy, Dirty Boy",24
"Fall","The Piano Guys ~ Wonders",24
"Spring","Sleeping At Last ~ Atlas: I",24
"Spring","Ashe ~ Choirs",24
"Spring","A.CHAL ~ EXOTIGAZ",24
"Spring","6LACK ~ East Atlanta Love Letter",24
"Spring","Ludovico Einaudi ~ Eden Roc",24
"Spring","SAINt JHN ~ Ghetto Lenny's Love Songs",24
"Spring","Neon Trees ~ Picture Show",24
"Spring","James Arthur ~ YOU",24
"Summer","Agnes Obel ~ Aventine",24
"Summer","ILLENIUM ~ Fallen Embers",24
"Summer","Far East Movement ~ Free Wired",24
"Summer","Mauve ~ Just Stay",24
"Summer","Mau y Ricky ~ La Boca",24
"Summer","Roxy Tones ~ Malibu Nights",24
"Summer","Mr. Probz ~ Nothing Really Matters",24
"Summer","Sleeping At Last ~ The Twilight Saga: Breaking Dawn - Part 1",24
"Winter","Mauve ~ Easy to Adore You",24
"Winter","Maluma ~ F.A.M.E.",24
"Winter","Daniel Caesar ~ Freudian",24
