"SchoolPeriod","Artist","Plays"
"11th-12th Summer","Jaden",79
"12th-Freshman Summer","Pop Smoke",79
"Freshman-Sophomore Summer","Ramzoid",79
"10th-11th Summer","A$AP Rocky",78
"12th Grade","ScHoolboy Q",78
"12th-Freshman Summer","Rich The Kid",78
"8th Grade","Childish Gambino",78
"Freshman-Sophomore Summer","Kid Cudi",78
"Freshman-Sophomore Summer","Polo G",78
"11th Grade","Dr. Dre",77
"11th Grade","Mike WiLL Made-It",77
"9th-10th Summer","Dave East",77
"9th Grade","Young Thug, Travis Scott",76
"9th-10th Summer","XXXTENTACION",76
"12th Grade","Post Malone",75
"12th Grade","Travis Scott, Quavo, HUNCHO JACK",75
"10th Grade","Tyler, The Creator",74
"10th-11th Summer","Ariana Grande",74
"10th-11th Summer","Lil Uzi Vert",74
"12th-Freshman Summer","Felly",74
"12th-Freshman Summer","Kid Cudi",74
"9th Grade","Rick Ross",74
"Freshman Year","VIC MENSA",74
"Freshman-Sophomore Summer","Frank Ocean",74
"Sophomore-Junior Summer","Hippo Campus",74
"10th-11th Summer","XXXTENTACION",73
"8th Grade","Eminem",73
"Freshman Year","Isaiah Rashad",73
"10th Grade","Dr. Dre",72
"10th-11th Summer","Jaden",72
"11th Grade","Action Bronson",72
"Freshman-Sophomore Summer","Future",72
"10th Grade","NAV",71
"11th Grade","Ariana Grande",71
"11th-12th Summer","Kendrick Lamar",71
"12th-Freshman Summer","Anderson .Paak",71
"Freshman Year","Kendrick Lamar",71
"Sophomore Year","Chance the Rapper",71
"Sophomore Year","Logic",71
"Sophomore Year","VIC MENSA",71
"11th Grade","Pusha T",70
"12th Grade","The Beatles",70
"Freshman Year","Frank Ocean",70
"Sophomore Year","Cage the Elephant",70
"Sophomore-Junior Summer","midwxst",70
"10th Grade","G Herbo",69
"11th Grade","MihTy",69
"Sophomore-Junior Summer","A$AP Rocky",69
"10th Grade","SZA",68
"10th Grade","Smino",68
"10th Grade","T-Pain",68
"10th-11th Summer","Joey Bada$$",68
"11th Grade","6LACK",68
"9th-10th Summer","J. Cole",68
"Sophomore-Junior Summer","Vince Staples",68
"10th Grade","Smokepurpp, Murda Beatz",67
"10th-11th Summer","Kanye West",67
"12th-Freshman Summer","Smino",67
"9th-10th Summer","Action Bronson",67
"Sophomore Year","PnB Rock",67
"Sophomore-Junior Summer","Travis Scott",67
"10th Grade","Metro Boomin, Big Sean",66
"10th-11th Summer","Johnny Rain",66
"11th Grade","6ix9ine",66
"11th Grade","Khalid",66
"11th Grade","Tee Grizzley",66
"12th-Freshman Summer","ScHoolboy Q",66
"Freshman-Sophomore Summer","BROCKHAMPTON",66
"Freshman-Sophomore Summer","Patrick Cc:",66
"11th Grade","Migos",65
"12th Grade","DaBaby",65
"9th Grade","Tee Grizzley",65
"9th-10th Summer","French Montana",65
"9th-10th Summer","VIC MENSA",65
"10th Grade","Quality Control, Migos",64
"12th Grade","Danny Brown",64
"9th Grade","Rick Ross, Kanye West",64
"Sophomore Year","Patrick Cc:",64
"Sophomore-Junior Summer","Kid Cudi",64
"11th Grade","Eminem",63
"12th Grade","Kenny Beats, 03 Greedo",63
"12th Grade","Kota the Friend",63
"12th-Freshman Summer","Mac Miller",63
"8th Grade","Kid Cudi",63
"9th Grade","VIC MENSA",63
"Freshman-Sophomore Summer","Lil Durk, Lil Baby",63
"Sophomore Year","Wallows",63
"11th-12th Summer","Aries",62
"12th-Freshman Summer","Gunna",62
"8th Grade","Ty Dolla $ign",62
"9th Grade","Jretro",62
"Freshman Year","Roddy Ricch",62
"Freshman-Sophomore Summer","J. Cole",62
"Sophomore-Junior Summer","Patrick Cc:, Jonah Zed",62
"11th Grade","Rich Brian",61
"11th Grade","tobi lou",61
"12th Grade","Lil Skies",61
"Freshman Year","Kill Jasper",61
"Freshman-Sophomore Summer","Daniel Caesar",61
"Sophomore Year","Buddy",61
"Sophomore Year","nothing,nowhere.",61
"11th Grade","Amine",60
"11th-12th Summer","Daniel Caesar",60
"12th Grade","Buddy",60
"9th Grade","Fun.",60
"9th Grade","GoldLink",60
"9th-10th Summer","Anderson .Paak",60
"Freshman Year","Statik Selektah, Kota the Friend",60
"Sophomore Year","Lil Baby",60
"Sophomore Year","Post Malone",60
"10th Grade","Jay Rock",59
"10th-11th Summer","Bryson Tiller",59
"12th-Freshman Summer","Arctic Monkeys",59
"10th Grade","Joyner Lucas",58
"10th Grade","Nas",58
"9th-10th Summer","DJ Khaled",58
"9th-10th Summer","Future",58
"9th-10th Summer","JID",58
"Sophomore Year","JID",58
"Sophomore Year","The Black Keys",58
"Sophomore-Junior Summer","Buddy",58
"10th Grade","Kendrick Lamar, Jay Rock, James Blake, Future",57
"10th Grade","The Weeknd",57
"10th-11th Summer","YG",57
"9th Grade","Kodak Black",57
"Freshman Year","Young Thug",57
"Sophomore Year","Felly",57
"Sophomore Year","Ramzoid",57
"Sophomore-Junior Summer","Tory Lanez",57
"10th-11th Summer","Pusha T",56
"11th Grade","Lil Mosey",56
"12th-Freshman Summer","A Boogie wit da Hoodie",56
"Freshman-Sophomore Summer","Amine",56
"Freshman-Sophomore Summer","DJ Khaled",56
"Freshman-Sophomore Summer","Tory Lanez",56
"Sophomore-Junior Summer","J. Cole",56
"10th Grade","2 Chainz",55
"10th Grade","Slim Jxmmi",55
"11th Grade","JID, J. Cole",55
"11th-12th Summer","Lil Uzi Vert",55
"12th Grade","Mir Fontane",55
"12th-Freshman Summer","Frank Ocean",55
"9th Grade","Gucci Mane",55
"Sophomore Year","Dr. Dre",55
"Sophomore-Junior Summer","Daniel Caesar",55
"11th Grade","Ty Dolla $ign",54
"11th Grade","XXXTENTACION",54
"11th-12th Summer","Chance the Rapper",54
"12th-Freshman Summer","Trippie Redd",54
"8th-9th Summer","Chance the Rapper",54
"9th Grade","SZA",54
"9th Grade","XXXTENTACION",54
"9th-10th Summer","Meek Mill",54
"9th-10th Summer","Playboi Carti",54
"Freshman-Sophomore Summer","Earl Sweatshirt",54
"Freshman-Sophomore Summer","No Fun Haus",54
"Sophomore Year","A$AP Mob",54
"10th-11th Summer","JPEGMAFIA",53
"11th Grade","Daniel Caesar",53
"11th-12th Summer","A$AP Rocky",53
"9th-10th Summer","21 Savage",53
"Freshman Year","slowthai",53
"Sophomore Year","Miguel",53
"Sophomore Year","Polo G",53
"Sophomore-Junior Summer","Juice WRLD",53
"Sophomore-Junior Summer","Mac Miller",53
"Sophomore-Junior Summer","Pusha T",53
"10th Grade","Rick Ross",52
"11th Grade","Post Malone",52
"Freshman-Sophomore Summer","A Boogie wit da Hoodie",52
"Sophomore Year","Daniyel",52
"Sophomore Year","tsubi club",52
"Sophomore-Junior Summer","Denzel Curry",52
"Sophomore-Junior Summer","Smino",52
"Sophomore-Junior Summer","Trippie Redd",52
"10th Grade","Chuck Strangers",51
"12th-Freshman Summer","Daniel Caesar",51
"9th-10th Summer","MadeinTYO",51
"Freshman Year","Athan",51
"Freshman Year","The Beach Boys",51
"Sophomore Year","Arctic Monkeys",51
"Sophomore Year","Migos",51
"10th Grade","Jazz Cartier",50
"12th Grade","Amine",50
"12th-Freshman Summer","Playboi Carti",50
"9th-10th Summer","Kevin Abstract",50
"9th-10th Summer","Nyck @ Knight",50
"Sophomore Year","Kirk Knight",50
"Sophomore Year","The 1975",50
"Sophomore-Junior Summer","Saba",50
"11th Grade","Chance the Rapper",49
"11th Grade","Joyner Lucas",49
"11th-12th Summer","Isaiah Rashad",49
"12th-Freshman Summer","Ty Dolla $ign",49
"8th Grade","OutKast",49
"Freshman Year","Knxwledge",49
"Freshman-Sophomore Summer","A$AP Rocky",49
"Freshman-Sophomore Summer","Grouplove",49
"Freshman-Sophomore Summer","Jaden",49
"Sophomore Year","XXXTENTACION",49
"Sophomore-Junior Summer","A Boogie wit da Hoodie",49
"Sophomore-Junior Summer","NxWorries, Knxwledge, Anderson .Paak",49
"Sophomore-Junior Summer","Radiohead",49
"10th Grade","JAY-Z",48
"10th-11th Summer","Dave East",48
"11th Grade","A$AP Mob",48
"12th Grade","Vince Staples",48
"12th-Freshman Summer","A$AP Rocky",48
"Freshman Year","Juice WRLD",48
"Freshman Year","ScHoolboy Q",48
"Freshman-Sophomore Summer","Juice WRLD",48
"Sophomore-Junior Summer","Jaden",48
"Sophomore-Junior Summer","ScHoolboy Q",48
"Sophomore-Junior Summer","Young Thug",48
"10th Grade","Khalid",47
"11th Grade","Zacari",47
"12th Grade","JID",47
"12th Grade","Shoreline Mafia",47
"12th-Freshman Summer","Earl Sweatshirt",47
"Freshman-Sophomore Summer","Danny Brown",47
"10th Grade","Meek Mill",46
"10th-11th Summer","Frank Ocean",46
"11th-12th Summer","Drake",46
"12th Grade","MAVI",46
"9th-10th Summer","A$AP Ferg",46
"Freshman Year","Mere Raj",46
"Freshman-Sophomore Summer","Kota the Friend",46
"Freshman-Sophomore Summer","Young Thug",46
"Sophomore Year","DJ Khaled",46
"Sophomore Year","JAY-Z",46
"Sophomore Year","Travis Scott, Quavo, HUNCHO JACK",46
"Sophomore-Junior Summer","Wallows",46
"10th-11th Summer","Future",45
"11th Grade","Dave East",45
"12th-Freshman Summer","J. Cole",45
"9th Grade","Buddy",45
"9th Grade","Earl Sweatshirt",45
"9th Grade","Lance Skiiiwalker",45
"Freshman Year","Hippo Campus",45
"Freshman Year","Mac Miller",45
"Freshman Year","Radiohead",45
"Freshman-Sophomore Summer","Cage the Elephant",45
"Freshman-Sophomore Summer","Pop Smoke",45
"Sophomore-Junior Summer","Kota the Friend",45
"Sophomore-Junior Summer","Verzache",45
"12th-Freshman Summer","Tyler, The Creator",44
"Freshman Year","Jazz Cartier",44
"Freshman Year","SiR",44
"Freshman Year","The 1975",44
"Freshman-Sophomore Summer","Playboi Carti",44
"Sophomore-Junior Summer","Amine",44
"10th-11th Summer","KIDS SEE GHOSTS",43
"11th Grade","KIDS SEE GHOSTS",43
"12th Grade","Madvillain, Madlib, MF DOOM",43
"Freshman Year","NxWorries, Knxwledge, Anderson .Paak",43
"Freshman-Sophomore Summer","Smino",43
"Freshman-Sophomore Summer","Trippie Redd",43
"Sophomore Year","Rae Sremmurd",43
"Sophomore-Junior Summer","Playboi Carti",43
"10th-11th Summer","H.E.R.",42
"10th-11th Summer","J. Cole",42
"11th Grade","Danny Brown",42
"11th Grade","VIC MENSA",42
"12th-Freshman Summer","Bryson Tiller",42
"Freshman-Sophomore Summer","Madlib, Freddie Gibbs",42
"Sophomore Year","Big Sean",42
"Sophomore Year","Lil Uzi Vert, Future",42
"Sophomore Year","Rich The Kid",42
"10th Grade","NxWorries",41
"10th Grade","blackbear",41
"10th-11th Summer","Dr. Dre",41
"10th-11th Summer","Eminem",41
"11th Grade","SOB X RBE",41
"11th-12th Summer","Beast Coast",41
"12th Grade","Denzel Curry",41
"Freshman Year","Anderson .Paak",41
"Freshman Year","Felly",41
