"Season","Artist","Plays"
"Spring","Moxie Raia",15
"Spring","THE SCOTTS",15
"Summer","Adele",15
"Summer","Amine",15
"Summer","Hippo Campus",15
"Summer","Pitbull",15
"Summer","Shawn Mendes",15
"Summer","The Script",15
"Winter","Ace Frehley",15
"Winter","CVBZ",15
"Winter","Don Omar",15
"Winter","Glen Campbell",15
"Winter","Jonas Blue",15
"Winter","Nicki Minaj",15
"Winter","Outkast",15
"Winter","Rich The Kid",15
"Winter","Rihanna",15
"Winter","The Growlers",15
"Fall","24kGoldn",14
"Fall","Ben Platt",14
"Fall","Billie Eilish",14
"Fall","Chad Lawson",14
"Fall","Charles Bolt",14
"Fall","Elliot Ziegler",14
"Fall","Gloria Gaynor",14
"Fall","Jefferson Airplane",14
"Fall","JiKay",14
"Fall","Kodak Black",14
"Fall","Selena Gomez",14
"Fall","Sha Na Na",14
"Fall","Sly & The Family Stone",14
"Fall","Supertramp",14
"Fall","Sweetwater",14
"Fall","Wale",14
"Fall","kudo",14
"Spring","6LACK",14
"Spring","Beyonce",14
"Spring","Daryl Hall & John Oates",14
"Spring","Deraj",14
"Spring","Doja Cat",14
"Spring","Flo Rida",14
"Spring","Halsey",14
"Spring","Imagine Dragons",14
"Spring","K'NAAN",14
"Spring","Lana Del Rey",14
"Spring","Offset",14
"Spring","PARTYNEXTDOOR",14
"Spring","Sia",14
"Spring","The Script",14
"Spring","Troye Sivan",14
"Summer","A$AP Ferg",14
"Summer","Bon Jovi",14
"Summer","Souls Of Mischief",14
"Summer","The Lemonheads",14
"Summer","Wiz Khalifa",14
"Winter","Adele",14
"Winter","Bon Jovi",14
"Winter","Camila Cabello",14
"Winter","Famous Dex",14
"Winter","John Newman",14
"Winter","MKTO",14
"Winter","Shakira",14
"Winter","Skrillex",14
"Winter","The Mamas & The Papas",14
"Fall","Akon",13
"Fall","Bebe Rexha",13
"Fall","Blood, Sweat & Tears",13
"Fall","Crosby, Stills & Nash",13
"Fall","Eurythmics",13
"Fall","Franz Gordon",13
"Fall","Gavin Luke",13
"Fall","Gucci Mane",13
"Fall","Hoogway",13
"Fall","Luna Shadows",13
"Fall","Macklemore",13
"Fall","Max Richter",13
"Fall","Mr. Probz",13
"Fall","Neon Trees",13
"Fall","Saint Motel",13
"Fall","Tomasz Kraal",13
"Fall","Ty Dolla $ign",13
"Fall","will.i.am",13
"Spring","Andy Grammer",13
"Spring","Osibih",13
"Spring","Ryan Trey",13
"Spring","Shankar Mahadevan",13
"Spring","Taylor Swift",13
"Spring","The Jackson 5",13
"Spring","The Velvet Underground",13
"Spring","Tiesto",13
"Summer","Arizona Zervas",13
"Summer","David Guetta",13
"Summer","Hoodie Allen",13
"Summer","Kid Ink",13
"Summer","Lil Dicky",13
"Summer","Shakira",13
"Summer","Tiesto",13
"Summer","Udit Narayan",13
"Summer","Y2K",13
"Summer","Young Stoner Life",13
"Winter","Andre Nickatina",13
"Winter","Bob Seger",13
"Winter","Gucci Mane",13
"Winter","Mr. Probz",13
"Winter","Neon Trees",13
"Winter","Pop Smoke",13
"Winter","Van Morrison",13
"Winter","Vince Staples",13
"Fall","A.R. Rahman",12
"Fall","Alexandra Streliski",12
"Fall","Arctic Monkeys",12
"Fall","Canned Heat",12
"Fall","Far East Movement",12
"Fall","GoldLink",12
"Fall","James Vasanthan",12
"Fall","Karin Borg",12
"Fall","Luh Kel",12
"Fall","Masego",12
"Fall","Michael Jackson",12
"Fall","Pop Smoke",12
"Fall","Thin Lizzy",12
"Fall","Tyga",12
"Fall","Young Money",12
"Fall","boy pablo",12
"Spring","Blaccmass",12
"Spring","Bombs Away",12
"Spring","CVBZ",12
"Spring","Galantis",12
"Spring","Iyaz",12
"Spring","Mac DeMarco",12
