"SchoolPeriod","Artist","Plays"
"11th-12th Summer","Goldmund",5
"11th-12th Summer","Greeicy",5
"11th-12th Summer","Greyson Chance",5
"11th-12th Summer","Hailee Steinfeld",5
"11th-12th Summer","Harry Hudson",5
"11th-12th Summer","Ivy Adara",5
"11th-12th Summer","Jack Johnson",5
"11th-12th Summer","Jakob",5
"11th-12th Summer","Jidenna",5
"11th-12th Summer","Joel Adams",5
"11th-12th Summer","Johann Eder",5
"11th-12th Summer","Joji",5
"11th-12th Summer","Jonatan Mollberg",5
"11th-12th Summer","Juke Ross",5
"11th-12th Summer","Kasper Schill",5
"11th-12th Summer","Kate Bollinger",5
"11th-12th Summer","Keeva Craig",5
"11th-12th Summer","Kina Grannis",5
"11th-12th Summer","Late Era",5
"11th-12th Summer","Lights From A Distance",5
"11th-12th Summer","Marshmello",5
"11th-12th Summer","Metro Boomin",5
"11th-12th Summer","Mike Bahia",5
"11th-12th Summer","Mike Perry",5
"11th-12th Summer","Mike Williams",5
"11th-12th Summer","Minik Knudsen",5
"11th-12th Summer","Nacho",5
"11th-12th Summer","Omotesando",5
"11th-12th Summer","Pedro Caceres",5
"11th-12th Summer","Pentatonix",5
"11th-12th Summer","Peter Sandberg",5
"11th-12th Summer","Phoebe Bridgers",5
"11th-12th Summer","Phoebe Ryan",5
"11th-12th Summer","Poppy Robson",5
"11th-12th Summer","Rae Morris",5
"11th-12th Summer","Reka Ioescu",5
"11th-12th Summer","Samuel Lindon",5
"11th-12th Summer","Steve Mokwebe",5
"11th-12th Summer","Taylor Swift",5
"11th-12th Summer","The Police",5
"11th-12th Summer","The Vamps",5
"11th-12th Summer","Tiwa Savage",5
"11th-12th Summer","Tyga",5
"11th-12th Summer","Vancouver Sleep Clinic",5
"11th-12th Summer","Vas Bela",5
"11th-12th Summer","Wet",5
"11th-12th Summer","Whitney",5
"11th-12th Summer","Xuitcasecity",5
"11th-12th Summer","fun.",5
"12th Grade","2CELLOS",5
"12th Grade","7715",5
"12th Grade","Alan Menken",5
"12th Grade","Alexander 23",5
"12th Grade","Alkpote",5
"12th Grade","Always Never",5
"12th Grade","Amir Obe",5
"12th Grade","Ardian Bujupi",5
"12th Grade","Arijit Singh",5
"12th Grade","Arush Mandal",5
"12th Grade","Astron",5
"12th Grade","Audioiko",5
"12th Grade","Bankrol Hayden",5
"12th Grade","Bian Aeros",5
"12th Grade","Black Eyed Peas",5
"12th Grade","Blewbird",5
"12th Grade","CARYS",5
"12th Grade","Christina Perri",5
"12th Grade","D4L",5
"12th Grade","DA Uzi",5
"12th Grade","DVBBS",5
"12th Grade","Davai",5
"12th Grade","DeJ Loaf",5
"12th Grade","Diddy - Dirty Money",5
"12th Grade","Emotional Oranges",5
"12th Grade","FLETCHER",5
"12th Grade","Gianni",5
"12th Grade","Gretta Ray",5
"12th Grade","Halsey",5
"12th Grade","Hamza",5
"12th Grade","Heuss L'enfoire",5
"12th Grade","Holmsey",5
"12th Grade","Hook N Sling",5
"12th Grade","Hornet La Frappe",5
"12th Grade","Il Sognatore",5
"12th Grade","J Elle",5
"12th Grade","Jake Hope",5
"12th Grade","Jatin-Lalit",5
"12th Grade","Jax Jones",5
"12th Grade","Jerome Damian",5
"12th Grade","John De Sohn",5
"12th Grade","John Paul White",5
