"Album","Plays","Songs","Artist","First Listen","Plays Per Song"
"Landmark",39,6,"Hippo Campus","2021-07-28",6.5
"Major Lazer Essentials",39,1,"Major Lazer","2018-11-19",39
"Perception",39,2,"NF","2017-11-12",19.5
"Scary Hours 2",39,3,"Drake","2021-03-05",13
"The Hills",39,1,"The Weeknd","2016-04-25",39
"24K Magic",38,3,"Bruno Mars","2017-05-25",12.6666666666667
"Drip Season 3",38,3,"Gunna","2019-12-21",12.6666666666667
"I Love You.",38,2,"The Neighbourhood","2019-10-20",19
"KHALED KHALED",38,4,"DJ Khaled","2021-04-30",9.5
"Mystery Lady (feat. Don Toliver)",38,1,"Masego","2021-03-23",38
"Pet Sounds",38,1,"The Beach Boys","2018-11-09",38
"Phantoms & Friends",38,1,"Old Man Canyon","2018-01-07",38
"Reggatta De Blanc",38,1,"The Police","2019-12-16",38
"The Days / Nights",38,1,"Avicii","2019-09-20",38
"56 Nights",37,1,"Future","2021-03-12",37
"Camelot",37,1,"NLE Choppa","2019-10-26",37
"Care Package",37,9,"Drake","2019-12-17",4.11111111111111
"Cozy Tapes Vol. 2: Too Cozy",37,2,"A$AP Mob","2021-03-22",18.5
"Fuzzybrain",37,4,"Dayglow","2021-02-11",9.25
"HIGHEST IN THE ROOM",37,1,"Travis Scott","2019-10-04",37
"Oral Fixation, Vol. 2",37,1,"Shakira","2016-04-27",37
"Sensational",37,13,"Yung Gravy","2019-05-31",2.84615384615385
"There's Really A Wolf",37,3,"Russ","2018-01-16",12.3333333333333
"#3",36,1,"The Script","2017-05-16",36
"A Day At The Races",36,1,"Queen","2018-11-28",36
"Elephunk",36,1,"Black Eyed Peas","2017-05-28",36
"FREE 6LACK",36,5,"6LACK","2018-03-27",7.2
"Honky Chateau",36,1,"Elton John","2019-01-21",36
"Look Alive (feat. Drake)",36,1,"BlocBoy JB","2018-02-25",36
"Music From The Netflix Original Series The Politician",36,1,"Ben Platt","2020-07-10",36
"Oh My My",36,2,"OneRepublic","2021-02-11",18
"Slime Language 2",36,11,"Young Stoner Life","2021-04-16",3.27272727272727
"Still Striving",36,1,"A$AP Ferg","2017-11-12",36
"Synchronicity",36,2,"The Police","2019-01-22",18
"The Best Of Redbone",36,1,"Redbone","2018-12-29",36
"Yellow Submarine",36,1,"The Beatles","2019-01-18",36
"Best Of Neha Kakkar",35,1,"Labh Janjua","2020-02-27",35
"Best of Bowie",35,18,"David Bowie","2021-01-31",1.94444444444444
"Dawn FM",35,6,"The Weeknd","2022-01-26",5.83333333333333
"Drunk",35,21,"Thundercat","2022-08-18",1.66666666666667
"Fuck The World",35,5,"Brent Faiyaz","2020-11-22",7
"King's Dead (with Kendrick Lamar, Future & James Blake)",35,1,"Jay Rock","2018-01-30",35
"Oxymoron",35,5,"ScHoolboy Q","2020-08-25",7
"Pressure 2.0",35,1,"Osibih","2019-11-11",35
"Shape of You",35,1,"Ed Sheeran","2017-03-31",35
"Blame",34,1,"Bryson Tiller","2019-12-05",34
"Drowning (feat. Kodak Black)",34,1,"A Boogie Wit da Hoodie","2017-05-18",34
