"Artist","Album","Songs","Plays Per Song"
"brillion.","Bedtime Stories Pt. 2",7,1.28571428571429
"Charles Bolt","Charles Bolt",2,4.5
"Crosby, Stills & Nash","Crosby, Stills & Nash",6,1.5
"Moux","Gaze",2,4.5
"Future","High Off Life",4,2.25
"Peter Green","In the Skies",5,1.8
"iann dior","Industry Plant",3,3
"Franz Gordon","Jeremy and Maureen",2,4.5
"Gavin Luke","Luster",2,4.5
"Mariah Carey","Merry Christmas",2,4.5
"Brenda Lee","Merry Christmas From Brenda Lee",2,4.5
"Kodhanda Raman","Nadaswaram",5,1.8
"Casiio","Particles",9,1
"Mike WiLL Made-It","Ransom 2",2,4.5
"Mac Dre","Ronald Dregan For President 2004: Dreganomics",4,2.25
"Santana","Santana (Legacy Edition)",8,1.125
"The Chainsmokers","Sick Boy",3,3
"Earl Sweatshirt","Some Rap Songs",3,3
"kudo","Staring Through",9,1
"Michael Jackson","Thriller 25 Super Deluxe Edition",3,3
"Flo Rida","Wild Ones",4,2.25
"6LACK","6pc Hot EP",3,2.66666666666667
"Dean Martin","A Winter Romance",2,4
"Joji","BALLADS 1",4,2
"Hippo Campus","Bambi",2,4
"Hardwell","Bella Ciao",2,4
"Blood, Sweat & Tears","Blood, Sweat & Tears",7,1.14285714285714
"Shordie Shordie","Captain Hook",6,1.33333333333333
"Mike WiLL Made-It","Creed II: The Album",4,2
"Melanie Laurent","En t'attendant",2,4
"Pop Smoke","Faith",6,1.33333333333333
"Arctic Monkeys","Favourite Worst Nightmare",4,2
"Machine Gun Kelly","General Admission",2,4
"50 Cent","Get Rich Or Die Tryin'",4,2
"Skrillex","HUMBLE.",2,4
"Cardi B","Invasion of Privacy",2,4
"Traffic","John Barleycorn Must Die",6,1.33333333333333
"Mac Miller","Macadelic (Remastered Edition)",2,4
