"Song","Artist","Plays","First Listen","ID"
"Look Alive (feat. Drake)","BlocBoy JB",266,2018-05-06,"4qKcDkK6siZ7Jp1Jb4m0aL"
"Stay","Post Malone",266,2018-04-27,"4H7WNRErSbONkM06blBoGc"
"Electric Feel","MGMT",265,2020-07-19,"3FtYbEfBqAlGO46NUDQSAt"
"Love Runs Out","OneRepublic",263,2018-12-07,"5BJSZocnCeSNeYMj3iVqM7"
"Channa Mereya (From """"""""Ae Dil Hai Mushkil"""""""")","Pritam",262,2020-10-24,"0H2iJVgorRR0ZFgRqGUjUM"
"Jordan Belfort","Wes Walker",262,2019-03-26,"6qMXubogFdMrvVMJwqATzd"
"Shots","Lil Tecca",261,2019-09-06,"6eSU1exzDvBEXmBRxspeh5"
"Take A Step Back","Ski Mask The Slump God",259,2018-12-25,"2gQYziDV5cSTRSqr6akzi5"
"Black Skinhead","Kanye West",258,2017-10-09,"722tgOgdIbNe3BEyLnejw4"
"Shotta Flow","NLE Choppa",257,2019-08-30,"4dAMdQ6g4kGmnc1MDHsg77"
"Hot Rod","Dayglow",256,2020-11-11,"0zePbRMJ9sd7wsZRlbPQua"
"Sweet Talk","Saint Motel",255,2020-05-21,"6kcHg7XL6SKyPNd78daRBL"
"Only Human","Jonas Brothers",253,2020-02-19,"0DiDStADDVh3SvAsoJAFMk"
"Somebody","Internet Money",253,2019-11-03,"735RSTb2xbtWbDtKD9XDYi"
"Night To Remember (feat. Randolph & S-X)","KSI",249,2020-05-25,"2vnaOpToPq93ApZuAEWZJe"
"Ride","Twenty One Pilots",249,2019-07-16,"2Z8WuEywRWYTKe1NybPQEW"
"Jump Around","House Of Pain",248,2019-11-02,"3TZwjdclvWt7iPJUnMpgcs"
"Know No Better","Major Lazer",247,2017-09-11,"6BKeNWeUqxmvQ09Gxd3ZGX"
"Wassup","Logic",247,2018-03-09,"5KVciTEfXvpcFHR3RFbtJy"
"Complicated","Mac Miller",246,2020-01-17,"3WfSNAoj2D8C9noPSGZZFM"
"Magic In The Hamptons (feat. Lil Yachty)","Social House",246,2019-06-14,"2Yer0p7uB2lVBUAtANuuQp"
"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",246,2019-04-09,"6u7jPi22kF8CTQ3rb9DHE7"
"Come & Go (with Marshmello)","Juice WRLD",245,2020-07-10,"2Y0wPrPQBrGhoLn14xRYCG"
"Nonstop","Drake",245,2018-07-01,"0TlLq3lA83rQOYtrqBqSct"
"Passing Time (feat. Logan Henderson)","Heffron Drive",245,2018-07-31,"6JgUivdBWaSlifgPzJF98t"
"Send Them Off!","Bastille",245,2021-05-11,"4Wg7VfvO7NVG57R8cSPDQG"
"Sundress","A$AP Rocky",243,2021-03-11,"2aPTvyE09vUCRwVvj0I8WK"
"Another Sad Love Song","Khalid",242,2017-12-11,"52Qu0no0NBho3zyRmjlsHn"
"Wings","Mac Miller",242,2020-07-10,"16umSNZfofRpDqTvf8DIAo"
"supercuts","Jeremy Zucker",241,2020-08-22,"4PyMK7JTcu6l30D8KogokR"
"The Beautiful & Damned","G-Eazy",237,2017-11-17,"6mVjlizvk7mq58DJl7pQ2j"
"Go Flex","Post Malone",234,2017-10-21,"5yuShbu70mtHXY0yLzCQLQ"
"Under The Weather","Mac Miller",233,2019-12-10,"15NEIBMCFHg6UElFbxQuph"
"Batman","Jaden",231,2018-10-01,"3aC9IY1oAAb0WeFeYebriD"
"Don't Pretend","Khalid",230,2019-04-04,"1E6DEDWDKHoOW0fcFuDghV"
"POWER","Kanye West",229,2019-09-20,"2gZUPNdnz5Y45eiGxpHGSc"
"Paradise","Khalid",229,2019-04-05,"6fOOKqQWcSy33ApU1wqkkW"
"Perfect Circle / God Speed","Mac Miller",229,2020-09-07,"4TlN2LSHn3DzauUe77l0ib"
"Why","Briston Maroney",226,2021-04-09,"6TV6zZJunV0y63x0TnKd90"
"Heaven","OneRepublic",225,2019-08-04,"1lFHaHvZeLf6XrOqX6iLlS"
"JAPAN","Famous Dex",224,2018-03-28,"5PTG6rrL6EPFD9E2QMI2pl"
"Nowadays (feat. Landon Cube)","Lil Skies",224,2018-03-28,"2u7mxWSeoqTXndK5e08jMp"
"Riptide","Vance Joy",224,2020-03-30,"3JvrhDOgAt6p7K8mDyZwRd"
"Call It Like I See It","Big Time Rush",223,2021-12-13,"5zpR9iel4xXiZ3HP9owOiL"
"Talk (feat. Disclosure)","Khalid",223,2019-04-05,"6TqXcAFInzjp0bODyvrWEq"
"Beerus","KSI",220,2019-06-08,"4lnOu9yHvXku5xTwxS7stc"
"Circles","Mac Miller",220,2020-01-17,"4jXl6VtkFFKIt3ycUQc5LT"
"Dunno - Recorded at Spotify Studios NYC","Mac Miller",219,2018-11-29,"6eIEJLVaPTU3NuctqdWCzJ"
"Tongue Tied","GROUPLOVE",219,2019-07-30,"0GO8y8jQk1PkHzS31d699N"
"Flex (feat. Juice WRLD)","Polo G",218,2020-05-16,"2QqJTIlGKRLJC3onkavYEz"
"Black SpiderMan","Logic",217,2017-09-18,"7BKUWh5sdtdS17crohRe4L"
"Everglow","Coldplay",217,2020-10-30,"5qfZRNjt2TkHEL12r3sDEU"
"rockstar","Post Malone",217,2017-10-22,"1OmcAT5Y8eg5bUPv9qJT4R"
"I Got 3","Jack Gray",216,2020-12-12,"2R68N68VJzuZhXgikT6hQg"
"Powerglide (feat. Juicy J)","Rae Sremmurd",216,2018-03-13,"2yUbCEiaolfSMluDo9RMmG"
"Straightjacket","Quinn XCII",216,2019-08-28,"51LIqkda3pTeECZUhMnool"
"YEAH RIGHT","Joji",216,2019-08-05,"1VGzxJnVQND7Cg5H5wGj14"
"Higher","The Score",215,2017-09-11,"0sJ4NbFdEhgLOtInlbRmFl"
"OTW","Khalid",215,2018-04-25,"6Hgh47WXVKtXN5zGOu0hjI"
"Lemonade","Internet Money",213,2020-08-14,"02kDW379Yfd5PzW5A6vuGt"
"Still Ballin (feat. Wiz Khalifa)","Logic",213,2019-05-10,"199Dz9IgqKekyiRy3LBnHn"
"All Star","Smash Mouth",212,2020-02-29,"3cfOd4CMv2snFaKAnMdnvK"
"ROTTEN (feat. EST Gee)","Jack Harlow",212,2019-09-22,"15jg4vt123axobdGleLugn"
"Ned Flanders (feat. A$AP Ferg)","MadeinTYO",211,2018-08-26,"6f5i916F3jU6BhOOD7iGqf"
"Prospect (ft. Lil Baby)","iann dior",211,2020-05-22,"4Zjdzxx0dsavsr7Ehr8fGE"
"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",211,2019-06-14,"7Feaw9WAEREY0DUOSXJLOM"
"What Once Was","Her's",211,2021-12-29,"1XrSjpNe49IiygZfzb74pk"
"Alive","Empire of the Sun",210,2022-03-10,"5WBnKCEsPwsvWHUZmLjS3s"
"GO (feat. Juice WRLD)","The Kid LAROI",210,2020-07-02,"2rPHUAeUPbNgTmK18FPTiZ"
"I'm So Bored","Sarah and the Sundays",210,2022-02-08,"3FOxcASfGM5j68Op5I31d8"
"OUT FRONT","Jack Harlow",209,2020-03-13,"6ukXwaLZoMjeqA98ZdKLtq"
"Sunday Best","Surfaces",209,2019-11-17,"1Cv1YLb4q0RzL6pybtaMLo"
"REEL IT IN","Amine",208,2018-11-07,"5qHirGR7M9tdm6C17DlzSY"
"1400 / 999 Freestyle","Trippie Redd",207,2018-11-15,"75lcPkAkUsKWHGBlGM476R"
"Give Me Your Love (feat. Nile Rodgers)","Sigala",207,2019-06-21,"4CWZOyb9YHIH06yfsvY6k1"
"Line Of Sight","ODESZA",207,2020-09-14,"2WWfjbHALIb3e7FMcj9mr4"
"Power Trip (feat. Miguel)","J. Cole",207,2019-03-25,"2uwnP6tZVVmTovzX5ELooy"
